Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.85%,167,"$25,443,055",5.48%,-19.78%
$10M or more,74.67%,75,"$766,918,348",5.96%,-27.59%
$1M to $4.9M,85.07%,201,"$292,644,757",3.77%,-46.01%
$500K to $999K,83.95%,81,"$23,142,422",4.55%,-34.57%
$5M to $9.9M,90.91%,66,"$332,251,162",6.25%,-71.16%
Less than $100K,60.00%,20,"$5,008,266",21.66%,-6.53%
Total,80.66%,610,"$1,445,408,010",5.07%,-33.43%
