Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Oregon,79.95%,"1,481","$3,139,845,085",3.14%,-31.00%
Baker County,72.73%,11,"$12,462,413",4.80%,-24.65%
Benton County,64.15%,53,"$35,126,713",6.45%,-6.57%
Clackamas County,73.53%,68,"$193,626,760",2.54%,-28.54%
Clatsop County,81.25%,32,"$40,827,723",3.96%,-23.59%
Columbia County,71.43%,14,"$19,428,817",5.95%,-58.74%
Coos County,80.77%,26,"$54,120,466",2.78%,-54.09%
Crook County,77.78%,9,"$24,565,349",-0.49%,-29.93%
Curry County,66.67%,12,"$4,012,624",24.69%,-53.64%
Deschutes County,79.45%,73,"$113,868,504",2.56%,-29.47%
Douglas County,83.87%,31,"$66,542,031",3.11%,-19.65%
Gilliam County,100.00%,1,"$1,497,736",63.48%,-20.75%
Grant County,80.00%,5,"$2,312,512",-3.79%,-52.13%
Harney County,80.00%,5,"$9,230,364",17.88%,-5.32%
Hood River County,83.33%,12,"$16,288,355",7.39%,-21.65%
Jackson County,90.70%,86,"$106,704,921",-2.94%,-56.87%
Jefferson County,100.00%,3,"$293,955",2.60%,-13.56%
Josephine County,85.71%,21,"$11,565,422",10.17%,-40.15%
Klamath County,88.89%,36,"$36,281,326",1.54%,-66.01%
Lake County,77.78%,9,"$3,725,082",6.17%,-44.60%
Lane County,76.52%,132,"$208,313,260",8.33%,-19.33%
Lincoln County,66.67%,27,"$21,561,964",6.83%,-25.03%
Linn County,76.67%,30,"$72,869,875",3.20%,-31.22%
Malheur County,72.73%,11,"$19,765,051",3.83%,-55.60%
Marion County,87.64%,89,"$144,912,817",1.01%,-23.62%
Morrow County,88.89%,9,"$5,514,157",0.04%,-23.31%
Multnomah County,82.59%,471,"$1,616,386,547",1.82%,-32.93%
Polk County,57.14%,14,"$8,640,337",11.71%,-18.90%
Sherman County,100.00%,1,"$6,200",-29.28%,-55.47%
Tillamook County,83.33%,12,"$9,021,480",9.24%,-48.03%
Umatilla County,61.90%,21,"$49,762,015",11.18%,-6.26%
Union County,77.78%,9,"$18,921,197",2.88%,-60.38%
Wallowa County,57.14%,7,"$6,130,708",13.65%,-35.90%
Wasco County,80.00%,15,"$16,162,174",5.62%,-7.57%
Washington County,80.81%,99,"$165,635,701",5.40%,-42.32%
Wheeler County,100.00%,2,"$2,082,902",9.03%,-66.66%
Yamhill County,68.00%,25,"$21,677,627",2.61%,-17.41%
