Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Georgia,81.10%,"1,524","$4,742,927,447",2.39%,-31.52%
Appling County,100.00%,2,"$477,473",18.82%,-20.05%
Bacon County,100.00%,1,"$611,065",-0.95%,-2.15%
Baker County,100.00%,1,"$143,696",56.78%,-10.11%
Baldwin County,100.00%,7,"$4,792,290",-1.34%,-82.04%
Banks County,100.00%,1,"$222,465",-5.65%,-105.65%
Barrow County,50.00%,6,"$2,528,756",6.29%,-1.18%
Bartow County,100.00%,9,"$29,249,548",3.22%,-50.85%
Berrien County,100.00%,1,"$531,267",7.53%,-71.29%
Bibb County,75.56%,45,"$84,226,766",2.80%,-25.33%
Brantley County,100.00%,1,"$7,250",9.56%,-6.37%
Brooks County,0.00%,1,"$7,100",395.00%,402.42%
Bulloch County,68.75%,16,"$118,382,289",8.34%,-44.25%
Burke County,100.00%,1,"$20,000",-48.34%,-78.96%
Butts County,100.00%,1,"$9,639,356",-3.87%,-103.76%
Camden County,80.00%,5,"$788,099",1.99%,-11.12%
Carroll County,90.91%,11,"$5,015,489",-0.36%,-26.06%
Catoosa County,100.00%,5,"$3,572,118",7.17%,-55.24%
Chatham County,82.43%,74,"$98,331,735",1.28%,-38.73%
Chattooga County,0.00%,1,"$10,000",51.74%,50.31%
Cherokee County,77.78%,18,"$14,269,099",3.33%,-16.51%
Clarke County,92.00%,25,"$268,471,413",11.35%,-30.38%
Clayton County,95.24%,21,"$31,786,399",-0.03%,-37.01%
Cobb County,75.00%,76,"$106,693,659",3.73%,-16.66%
Coffee County,100.00%,3,"$411,550",-2.94%,-76.89%
Colquitt County,88.89%,9,"$40,716,784",0.51%,-21.28%
Columbia County,80.00%,5,"$1,412,615",-3.17%,-59.85%
Cook County,100.00%,1,"$172,952",6.83%,-44.11%
Coweta County,80.00%,10,"$15,193,957",3.72%,-25.66%
Crisp County,100.00%,5,"$3,660,373",-1.23%,-54.43%
Dade County,100.00%,5,"$6,629,952",-0.25%,-46.86%
Dawson County,100.00%,2,"$411,343",11.53%,-73.13%
DeKalb County,80.00%,160,"$1,506,000,906",3.06%,-35.02%
Decatur County,60.00%,5,"$741,616",-4.98%,-53.58%
Dodge County,100.00%,1,"$148,060",-6.93%,-82.62%
Dooly County,0.00%,1,"$4,250",46.50%,45.42%
Dougherty County,90.32%,31,"$107,772,957",-2.82%,-49.52%
Douglas County,71.43%,14,"$5,195,997",4.40%,-23.13%
Early County,100.00%,3,"$4,761,167",10.17%,-60.03%
Effingham County,100.00%,1,"$4,614,632",1.68%,-98.16%
Emanuel County,100.00%,3,"$9,528,766",-3.53%,-63.80%
Evans County,100.00%,1,"$1,643,236",0.85%,-6.55%
Fannin County,75.00%,8,"$6,886,475",1.34%,-14.54%
Fayette County,92.86%,14,"$10,018,448",-0.33%,-49.82%
Floyd County,85.71%,21,"$15,489,683",3.69%,-44.41%
Forsyth County,80.00%,15,"$8,224,363",1.13%,-32.01%
Franklin County,75.00%,4,"$993,195",12.92%,-19.73%
Fulton County,78.98%,371,"$1,586,528,421",1.33%,-25.71%
Gilmer County,50.00%,4,"$411,980",17.85%,-17.04%
Glascock County,100.00%,1,"$255,000",9.54%,-76.04%
Glynn County,61.54%,13,"$36,871,999",6.75%,-38.89%
Gordon County,66.67%,6,"$1,444,611",9.63%,-26.25%
Grady County,100.00%,2,"$1,293,185",6.66%,-66.57%
Greene County,100.00%,5,"$4,586,458",8.20%,-39.90%
Gwinnett County,85.14%,74,"$75,406,449",1.85%,-48.25%
Habersham County,80.00%,10,"$4,155,831",1.02%,-24.36%
Hall County,76.19%,21,"$39,313,756",3.68%,-29.10%
Hancock County,100.00%,1,"$117,966",-21.53%,-108.02%
Haralson County,66.67%,3,"$227,986",0.05%,-54.08%
Harris County,100.00%,1,"$25,206",-10.18%,-24.57%
Hart County,100.00%,1,"$1,224,019",13.50%,-70.95%
Henry County,93.33%,15,"$5,800,540",2.32%,-55.16%
Houston County,82.35%,17,"$10,403,015",3.22%,-54.65%
Irwin County,100.00%,1,"$1,417,062",13.87%,-64.90%
Jackson County,100.00%,4,"$456,438",-2.41%,-88.42%
Jasper County,100.00%,1,"$476,912",-8.10%,-11.24%
Jeff Davis County,100.00%,2,"$83,795",2.09%,-4.42%
Johnson County,100.00%,1,"$9,040,729",0.83%,-43.55%
Jones County,50.00%,4,"$3,754,560",-0.71%,-1.68%
Lamar County,66.67%,3,"$357,982",4.79%,-8.19%
Laurens County,100.00%,4,"$2,022,631",4.75%,-70.59%
Liberty County,100.00%,5,"$5,311,447",3.64%,-48.47%
Lowndes County,88.89%,9,"$38,685,110",0.54%,-45.02%
Lumpkin County,100.00%,6,"$1,602,187",2.60%,-44.63%
Macon County,100.00%,1,"$799,231",-16.23%,-115.26%
Madison County,100.00%,2,"$8,905,987",-7.05%,-25.19%
McIntosh County,100.00%,1,"$211,029",5.73%,-94.27%
Meriwether County,100.00%,1,"$42,520",-30.42%,-54.39%
Miller County,100.00%,2,"$372,595",-1.77%,-60.09%
Mitchell County,75.00%,4,"$1,083,820",12.09%,-25.54%
Monroe County,66.67%,3,"$769,340",0.13%,-63.38%
Montgomery County,50.00%,2,"$904,502",13.71%,-38.16%
Morgan County,75.00%,4,"$546,132",2.27%,-3.79%
Murray County,100.00%,3,"$2,564,904",-10.19%,-99.72%
Muscogee County,71.05%,38,"$66,590,401",5.33%,-28.65%
Newton County,75.00%,8,"$1,192,248",1.43%,-24.11%
Oconee County,66.67%,3,"$1,509,000",-1.52%,-3.22%
Paulding County,71.43%,7,"$1,536,394",13.07%,-0.68%
Peach County,100.00%,2,"$55,126",-7.53%,-10.53%
Pickens County,83.33%,6,"$2,477,885",11.80%,-29.54%
Pierce County,100.00%,1,"$158,272",16.33%,-14.12%
Polk County,100.00%,2,"$900,053",16.64%,-61.24%
Pulaski County,100.00%,1,"$496,457",-26.33%,-28.29%
Putnam County,80.00%,5,"$1,766,324",-0.77%,-30.92%
Rabun County,100.00%,5,"$4,210,325",-1.17%,-71.35%
Randolph County,100.00%,3,"$8,841,887",-5.43%,-92.85%
Richmond County,94.87%,39,"$121,980,955",-0.86%,-42.25%
Rockdale County,92.86%,14,"$22,282,484",1.30%,-83.01%
Seminole County,100.00%,1,"$10,000",-7.55%,-7.58%
Spalding County,50.00%,2,"$450,923",5.24%,-19.03%
Stephens County,66.67%,6,"$3,607,283",9.37%,-28.88%
Stewart County,100.00%,1,"$11,865,516",12.39%,-3.28%
Sumter County,83.33%,6,"$33,240,213",3.19%,-19.67%
Terrell County,100.00%,2,"$3,503,032",6.51%,-87.07%
Thomas County,85.71%,14,"$6,053,848",4.93%,-19.82%
Tift County,62.50%,8,"$2,508,119",1.50%,-51.08%
Toombs County,100.00%,5,"$2,626,083",-0.37%,-33.05%
Towns County,66.67%,3,"$1,720,305",-0.67%,-1.07%
Treutlen County,100.00%,1,"$37,604",-0.64%,-17.95%
Troup County,66.67%,21,"$25,190,325",0.87%,-15.94%
Turner County,100.00%,1,"$1,016,214",9.77%,-86.01%
Union County,66.67%,6,"$2,484,285",12.41%,-12.36%
Upson County,0.00%,1,"$514,169",4.98%,4.57%
Walker County,83.33%,6,"$2,441,990",-4.00%,-59.11%
Walton County,87.50%,8,"$3,257,289",5.34%,-18.96%
Ware County,100.00%,8,"$8,943,281",7.73%,-44.42%
Warren County,100.00%,1,"$299,741",0.57%,-97.17%
Washington County,75.00%,4,"$6,500,814",8.46%,-86.84%
Wayne County,100.00%,1,"$129,185",6.40%,-20.58%
White County,50.00%,6,"$5,652,016",15.06%,-0.19%
Whitfield County,80.00%,15,"$8,358,457",4.55%,-26.83%
Wilkes County,100.00%,1,"$387,657",-4.54%,-103.50%
Wilkinson County,50.00%,2,"$239,343",-1.63%,-50.59%
Worth County,0.00%,1,"$6,000",15.70%,15.68%
