Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.62%,159,"$21,810,076",4.75%,-33.34%
$10M or more,65.52%,58,"$390,656,748",4.03%,-8.01%
$1M to $4.9M,86.47%,133,"$170,673,864",1.16%,-50.90%
$500K to $999K,83.72%,86,"$56,877,943",1.22%,-49.37%
$5M to $9.9M,88.57%,35,"$165,016,677",1.64%,-72.68%
Less than $100K,72.73%,33,"$3,811,795",20.38%,-8.66%
Total,80.36%,504,"$808,847,103",2.66%,-39.81%
