Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Wisconsin,74.74%,"1,702","$2,816,880,913",3.09%,-20.57%
1st Congressional district,79.17%,120,"$102,669,006",2.76%,-24.22%
2nd Congressional district,74.50%,349,"$547,535,322",2.11%,-22.98%
3rd Congressional district,67.30%,211,"$191,887,312",4.75%,-13.99%
4th Congressional district,84.15%,328,"$959,147,905",1.43%,-35.48%
5th Congressional district,73.77%,122,"$98,829,245",5.48%,-17.27%
6th Congressional district,74.07%,162,"$537,594,449",1.97%,-14.10%
7th Congressional district,71.70%,212,"$201,684,656",5.17%,-17.60%
8th Congressional district,69.19%,198,"$177,533,018",4.45%,-14.11%
