Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",68.16%,179,"$102,370,558",5.59%,-10.93%
Education,72.93%,133,"$188,553,286",5.91%,-13.13%
Environment and animals,66.32%,95,"$92,970,190",10.06%,-16.94%
Health,75.00%,188,"$328,996,023",3.77%,-22.26%
Hospitals,51.72%,29,"$145,237,268",3.19%,-0.04%
Human services,80.45%,752,"$1,251,374,917",2.10%,-32.21%
"International, foreign affairs",75.00%,8,"$8,471,991",14.66%,-16.74%
Mutual/membership benefit,50.00%,2,"$821,392",10.57%,-29.07%
"Public, societal benefit",74.19%,186,"$563,588,091",3.44%,-31.85%
Religion-related,72.22%,36,"$61,472,092",1.90%,-10.14%
Unclassified,78.50%,493,"$1,919,493,665",2.39%,-32.46%
Universities,66.67%,18,"$34,629,730",-3.40%,-6.95%
Total,76.12%,"2,119","$4,697,979,203",2.88%,-24.77%
