Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.10%,298,"$64,302,752",3.27%,-9.39%
Education,72.69%,249,"$397,451,314",5.07%,-14.25%
Environment and animals,62.20%,82,"$423,678,331",8.67%,-9.67%
Health,79.04%,167,"$1,168,357,030",2.68%,-14.89%
Hospitals,56.25%,16,"$1,608,188,391",1.70%,-2.36%
Human services,78.63%,641,"$4,235,921,326",3.77%,-24.96%
"International, foreign affairs",100.00%,17,"$867,311,689",-1.84%,-54.70%
Mutual/membership benefit,100.00%,1,"$248,020",-9.64%,-36.60%
"Public, societal benefit",80.50%,200,"$323,054,442",2.62%,-30.00%
Religion-related,81.25%,16,"$7,789,309",14.25%,-11.26%
Unclassified,71.57%,517,"$1,860,102,773",5.34%,-13.39%
Universities,58.62%,29,"$1,071,230,269",0.00%,-2.67%
Total,73.89%,"2,233","$12,027,635,646",4.06%,-15.56%
