Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",80.37%,214,"$256,903,687",0.80%,-24.51%
Education,72.78%,158,"$220,572,308",2.78%,-14.14%
Environment and animals,76.47%,85,"$104,331,770",4.11%,-34.30%
Health,75.30%,166,"$938,280,354",3.34%,-21.04%
Hospitals,44.44%,9,"$18,157,993",4.17%,3.76%
Human services,81.23%,650,"$954,847,763",3.20%,-34.11%
"International, foreign affairs",94.44%,18,"$409,799,297",-3.26%,-54.29%
Mutual/membership benefit,100.00%,2,"$114,722",6.58%,-19.42%
"Public, societal benefit",83.82%,173,"$546,143,386",3.83%,-41.34%
Religion-related,83.33%,24,"$30,160,111",-2.20%,-57.24%
Unclassified,77.13%,363,"$1,162,568,672",2.06%,-22.31%
Universities,63.64%,11,"$90,927,419",2.25%,-3.46%
Total,79.02%,"1,873","$4,732,807,482",2.80%,-27.27%
