Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,80.62%,609,"$98,087,502",5.51%,-32.69%
$10M or more,71.37%,241,"$3,730,450,910",1.12%,-9.84%
$1M to $4.9M,82.45%,490,"$476,226,068",2.13%,-32.52%
$500K to $999K,80.65%,310,"$106,633,867",2.68%,-30.61%
$5M to $9.9M,73.61%,144,"$314,457,531",1.75%,-13.75%
Less than $100K,72.15%,79,"$6,951,604",18.82%,-37.78%
Total,79.02%,"1,873","$4,732,807,482",2.80%,-27.27%
