Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.57%,616,"$77,857,726",4.27%,-28.60%
$10M or more,82.50%,280,"$4,202,205,516",0.67%,-19.48%
$1M to $4.9M,79.62%,741,"$714,848,031",3.03%,-28.07%
$500K to $999K,83.06%,372,"$103,203,094",0.87%,-30.79%
$5M to $9.9M,81.21%,165,"$508,544,911",1.74%,-32.77%
Less than $100K,49.28%,69,"$4,835,764",32.68%,2.15%
Total,79.45%,"2,243","$5,611,495,042",2.47%,-27.16%
