Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,77.31%,357,"$45,971,687",3.73%,-25.14%
$10M or more,78.41%,176,"$2,897,558,470",0.83%,-17.87%
$1M to $4.9M,81.77%,351,"$322,707,650",0.67%,-35.70%
$500K to $999K,84.54%,207,"$57,077,638",1.75%,-22.31%
$5M to $9.9M,88.50%,113,"$334,110,757",1.21%,-30.33%
Less than $100K,53.85%,65,"$2,860,446",30.38%,-4.09%
Total,79.67%,"1,269","$3,660,286,648",1.87%,-25.14%
