Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",82.42%,91,"$30,697,296",3.12%,-18.75%
Education,93.44%,122,"$673,848,819",5.99%,-85.50%
Environment and animals,68.29%,41,"$29,255,102",5.07%,-11.84%
Health,73.68%,57,"$166,088,052",4.73%,-21.27%
Hospitals,75.00%,4,"$43,590,669",10.44%,-28.89%
Human services,82.43%,148,"$271,207,399",5.15%,-37.99%
"International, foreign affairs",57.14%,7,"$454,758",8.47%,-15.78%
"Public, societal benefit",61.54%,39,"$20,673,061",8.60%,-13.79%
Religion-related,50.00%,4,"$622,421",6.17%,3.62%
Unclassified,81.25%,96,"$208,470,433",2.10%,-27.51%
Universities,0.00%,1,"$500,000",21.04%,8.55%
Total,80.66%,610,"$1,445,408,010",5.07%,-33.43%
