Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,71.32%,136,"$13,801,810",7.45%,-20.08%
$10M or more,57.89%,57,"$368,162,463",5.26%,-3.12%
$1M to $4.9M,75.00%,88,"$96,298,189",5.94%,-23.05%
$500K to $999K,81.25%,48,"$14,171,561",1.57%,-51.42%
$5M to $9.9M,75.00%,32,"$74,650,889",4.07%,-9.18%
Less than $100K,52.94%,17,"$1,391,842",13.40%,-2.16%
Total,70.90%,378,"$568,476,754",5.16%,-16.62%
