Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.93%,54,"$11,368,556",2.05%,-15.95%
Education,87.10%,62,"$165,162,699",-0.19%,-50.81%
Environment and animals,66.67%,24,"$5,973,517",14.28%,-11.72%
Health,80.30%,66,"$134,299,525",0.89%,-44.54%
Hospitals,95.00%,20,"$57,693,079",-2.21%,-9.67%
Human services,82.33%,266,"$217,712,754",-0.21%,-46.38%
"International, foreign affairs",66.67%,3,"$101,785,758",-0.37%,-8.09%
"Public, societal benefit",88.89%,63,"$85,840,444",7.90%,-50.58%
Religion-related,78.57%,14,"$2,374,969",6.64%,-9.70%
Unclassified,80.92%,152,"$296,124,072",1.92%,-27.91%
Universities,40.00%,5,"$10,358,939",6.36%,4.57%
Total,81.76%,729,"$1,088,694,312",1.22%,-33.57%
