Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Alaska,85.71%,462,"$1,829,114,382",1.79%,-36.91%
Aleutians West Census Area,100.00%,2,"$649,487",10.98%,-50.14%
Anchorage Municipality,88.17%,169,"$984,188,887",2.68%,-33.75%
Bethel Census Area,100.00%,7,"$8,551,794",-1.29%,-70.54%
Bristol Bay Borough,100.00%,1,"$153,314",21.47%,-39.46%
Chugach Census Area,80.00%,10,"$13,837,170",5.93%,-60.34%
Copper River Census Area,100.00%,4,"$22,766,054",-6.06%,-85.50%
Denali Borough,100.00%,3,"$393,160",5.56%,-52.29%
Dillingham Census Area,83.33%,6,"$87,330,922",10.37%,-52.89%
Fairbanks North Star Borough,83.33%,48,"$57,838,552",-0.57%,-19.64%
Haines Borough,80.00%,5,"$609,558",-24.15%,-45.86%
Juneau City and Borough,80.00%,40,"$172,375,443",3.62%,-24.37%
Kenai Peninsula Borough,85.71%,49,"$24,225,036",-1.87%,-36.23%
Ketchikan Gateway Borough,100.00%,10,"$5,812,615",-3.49%,-57.65%
Kodiak Island Borough,86.67%,15,"$40,199,960",-0.31%,-46.55%
Lake and Peninsula Borough,100.00%,1,"$59,953",-16.61%,-65.11%
Matanuska-Susitna Borough,76.09%,46,"$61,304,669",3.20%,-46.61%
Nome Census Area,100.00%,5,"$192,386,493",-1.16%,-48.51%
North Slope Borough,100.00%,3,"$55,787,165",6.24%,-23.41%
Northwest Arctic Borough,100.00%,3,"$84,576,180",4.34%,-27.62%
Petersburg Borough,100.00%,4,"$505,040",-12.33%,-60.50%
Sitka City and Borough,83.33%,18,"$11,040,155",2.06%,-38.53%
Skagway Municipality,50.00%,2,"$145,478",-9.17%,-43.59%
Southeast Fairbanks Census Area,83.33%,6,"$1,222,285",1.39%,-44.26%
Wrangell City and Borough,50.00%,2,"$939,592",12.20%,-10.41%
Yukon-Koyukuk Census Area,100.00%,3,"$2,215,420",6.65%,-28.27%
