Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Texas,79.40%,"3,538","$13,292,375,464",2.48%,-29.22%
10th Congressional district,73.45%,113,"$109,678,388",4.34%,-24.81%
11th Congressional district,82.50%,120,"$217,841,012",3.26%,-35.86%
12th Congressional district,79.80%,99,"$222,834,720",2.05%,-30.24%
13th Congressional district,81.88%,138,"$116,676,948",1.17%,-29.41%
14th Congressional district,93.68%,95,"$168,021,107",0.32%,-32.19%
15th Congressional district,85.29%,68,"$364,047,617",2.73%,-47.76%
16th Congressional district,89.61%,77,"$326,305,164",0.56%,-45.20%
17th Congressional district,73.98%,123,"$363,422,335",3.92%,-34.90%
18th Congressional district,70.75%,106,"$243,227,658",3.10%,-25.89%
19th Congressional district,81.06%,132,"$243,967,200",4.21%,-35.57%
1st Congressional district,80.47%,128,"$179,089,306",0.10%,-30.17%
20th Congressional district,76.67%,60,"$914,576,541",3.23%,-40.65%
21st Congressional district,72.34%,141,"$1,269,054,510",4.10%,-16.38%
22nd Congressional district,76.81%,69,"$46,091,500",1.79%,-30.91%
23rd Congressional district,77.61%,67,"$74,241,001",5.68%,-33.61%
24th Congressional district,76.06%,71,"$86,078,237",2.84%,-13.51%
25th Congressional district,77.53%,89,"$110,864,131",5.66%,-36.23%
26th Congressional district,81.82%,44,"$56,670,642",3.06%,-22.17%
27th Congressional district,79.81%,104,"$136,862,879",4.68%,-20.27%
28th Congressional district,82.05%,78,"$329,592,634",4.84%,-44.74%
29th Congressional district,78.00%,50,"$680,883,514",1.70%,-38.18%
2nd Congressional district,74.36%,39,"$59,230,732",2.67%,-9.47%
30th Congressional district,77.40%,177,"$696,455,289",0.00%,-21.45%
31st Congressional district,76.67%,90,"$147,755,706",3.60%,-26.47%
32nd Congressional district,86.67%,75,"$408,340,901",0.27%,-36.86%
33rd Congressional district,79.73%,74,"$669,360,957",2.55%,-24.77%
34th Congressional district,87.10%,62,"$179,607,192",3.98%,-40.45%
35th Congressional district,81.77%,203,"$1,720,179,475",1.84%,-31.08%
36th Congressional district,81.16%,69,"$88,462,839",1.20%,-31.72%
37th Congressional district,79.39%,262,"$977,886,090",1.86%,-25.29%
38th Congressional district,75.00%,64,"$134,737,604",4.93%,-19.73%
3rd Congressional district,71.43%,42,"$24,159,968",0.52%,-22.66%
4th Congressional district,69.44%,72,"$60,090,283",5.56%,-20.11%
5th Congressional district,81.40%,43,"$60,358,915",5.49%,-53.59%
6th Congressional district,91.07%,56,"$106,237,940",1.43%,-49.13%
7th Congressional district,78.33%,120,"$417,502,905",1.09%,-21.18%
8th Congressional district,76.09%,46,"$46,447,861",3.42%,-22.99%
9th Congressional district,81.94%,72,"$1,235,533,763",2.54%,-31.43%
