Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Arizona,79.03%,"1,092","$3,796,241,941",3.18%,-26.34%
1st Congressional district,78.26%,115,"$345,859,333",2.22%,-18.90%
2nd Congressional district,79.66%,177,"$439,277,274",2.70%,-25.23%
3rd Congressional district,78.14%,215,"$1,211,445,659",2.36%,-28.93%
4th Congressional district,75.22%,113,"$480,585,183",2.96%,-17.89%
5th Congressional district,87.50%,56,"$311,341,991",3.63%,-57.98%
6th Congressional district,78.43%,102,"$275,221,333",4.12%,-29.73%
7th Congressional district,82.32%,198,"$602,088,896",3.59%,-30.98%
8th Congressional district,74.63%,67,"$68,348,972",3.22%,-16.83%
9th Congressional district,75.51%,49,"$62,073,300",5.69%,-33.17%
