Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Ohio,81.18%,"3,246","$18,114,734,073",2.17%,-30.33%
10th Congressional district,79.60%,201,"$405,359,240",3.19%,-28.83%
11th Congressional district,80.79%,354,"$982,858,083",1.03%,-27.70%
12th Congressional district,76.09%,184,"$286,197,544",3.56%,-23.00%
13th Congressional district,80.00%,235,"$341,994,787",0.16%,-31.66%
14th Congressional district,78.63%,131,"$137,154,938",4.91%,-17.01%
15th Congressional district,78.16%,206,"$507,471,874",2.94%,-36.43%
1st Congressional district,77.78%,261,"$881,827,581",2.31%,-17.99%
2nd Congressional district,75.40%,126,"$237,625,778",4.21%,-18.89%
3rd Congressional district,91.89%,493,"$12,765,670,716",-0.20%,-55.69%
4th Congressional district,82.23%,242,"$358,982,782",3.39%,-31.41%
5th Congressional district,81.40%,172,"$158,527,287",2.15%,-24.55%
6th Congressional district,78.14%,183,"$251,175,192",3.93%,-27.65%
7th Congressional district,77.27%,110,"$346,492,757",3.75%,-18.01%
8th Congressional district,79.44%,107,"$90,951,918",4.69%,-20.57%
9th Congressional district,80.50%,241,"$362,443,596",1.42%,-31.70%
