Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Kansas,80.25%,795,"$903,343,390",2.24%,-24.98%
Allen County,83.33%,6,"$9,713,632",5.21%,-13.35%
Anderson County,100.00%,1,"$1,013,711",-5.71%,-8.83%
Atchison County,100.00%,7,"$2,475,368",6.48%,-27.85%
Barton County,85.71%,14,"$9,773,119",3.56%,-28.98%
Bourbon County,100.00%,2,"$339,535",-1.04%,-61.24%
Brown County,83.33%,6,"$11,586,218",-1.01%,-55.61%
Butler County,100.00%,12,"$12,705,061",-0.84%,-59.12%
Chase County,100.00%,1,"$970,094",-14.36%,-107.23%
Chautauqua County,100.00%,1,"$281,503",34.02%,-2.03%
Cherokee County,100.00%,6,"$4,847,140",-0.30%,-27.81%
Cheyenne County,100.00%,2,"$1,477,804",2.26%,-7.63%
Clay County,100.00%,3,"$3,787,229",1.48%,-93.21%
Cloud County,40.00%,5,"$537,108",7.62%,3.28%
Coffey County,100.00%,2,"$2,663,789",5.03%,-90.22%
Comanche County,66.67%,3,"$67,866",-0.47%,-1.51%
Cowley County,90.00%,10,"$10,504,865",0.98%,-55.41%
Crawford County,80.00%,15,"$40,090,730",2.24%,-33.91%
Decatur County,50.00%,2,"$643,143",28.18%,-15.34%
Dickinson County,60.00%,5,"$377,042",29.11%,-5.92%
Doniphan County,50.00%,2,"$164,449",11.40%,-4.20%
Douglas County,83.72%,43,"$111,130,757",1.35%,-22.18%
Elk County,100.00%,1,"$182,689",5.57%,-85.36%
Ellis County,82.35%,17,"$23,755,540",2.77%,-24.77%
Ellsworth County,100.00%,2,"$354,139",15.58%,-30.74%
Finney County,90.91%,11,"$9,764,339",-8.85%,-39.45%
Ford County,75.00%,12,"$6,997,852",10.59%,-6.56%
Franklin County,60.00%,10,"$21,672,384",6.33%,-18.95%
Geary County,88.89%,9,"$5,960,235",-2.89%,-42.95%
Graham County,100.00%,2,"$821,475",-4.94%,-48.76%
Grant County,100.00%,1,"$298,656",38.29%,-61.71%
Gray County,100.00%,2,"$231,522",-4.06%,-28.24%
Greeley County,100.00%,1,"$1,075,135",-1.12%,-8.05%
Greenwood County,50.00%,2,"$184,393",42.05%,-5.10%
Harper County,33.33%,3,"$464,721",13.61%,8.72%
Harvey County,64.29%,14,"$17,395,736",6.27%,-13.83%
Haskell County,100.00%,2,"$216,091",6.10%,-77.46%
Jackson County,80.00%,5,"$591,221",-3.60%,-9.73%
Jefferson County,100.00%,2,"$2,022,790",2.69%,-23.52%
Johnson County,74.03%,77,"$86,090,156",2.30%,-14.13%
Kingman County,100.00%,4,"$1,372,942",9.89%,-17.59%
Kiowa County,80.00%,5,"$878,035",-3.80%,-34.88%
Labette County,66.67%,6,"$5,991,063",6.36%,-3.40%
Leavenworth County,58.33%,12,"$8,110,792",9.87%,-28.54%
Lincoln County,50.00%,2,"$285,982",39.30%,-29.76%
Logan County,100.00%,2,"$509,297",-6.43%,-38.21%
Lyon County,94.12%,17,"$15,186,407",-9.26%,-78.01%
Marion County,100.00%,1,"$296,401",7.12%,-87.31%
Marshall County,66.67%,3,"$290,146",-5.32%,-5.56%
McPherson County,77.78%,18,"$10,260,183",4.15%,-10.04%
Miami County,100.00%,4,"$1,274,835",4.60%,-36.69%
Mitchell County,100.00%,1,"$51,494",-50.96%,-57.34%
Montgomery County,71.43%,7,"$2,402,345",0.45%,-19.87%
Morris County,100.00%,1,"$75,800",44.45%,-13.49%
Morton County,100.00%,1,"$66,408",-12.23%,-67.54%
Nemaha County,60.00%,5,"$2,488,305",4.78%,-7.68%
Neosho County,87.50%,8,"$13,319,089",1.89%,-63.79%
Norton County,100.00%,1,"$1,674,487",29.76%,-2.05%
Osage County,100.00%,1,"$671,618",17.08%,-2.84%
Ottawa County,100.00%,2,"$4,004,045",-1.48%,-53.32%
Pawnee County,50.00%,2,"$70,793",-23.75%,-41.97%
Phillips County,50.00%,2,"$527,607",10.63%,-16.44%
Pottawatomie County,100.00%,3,"$1,509,093",-4.29%,-59.88%
Pratt County,75.00%,4,"$574,765",-5.65%,-9.46%
Rawlins County,100.00%,2,"$469,106",9.06%,-20.51%
Reno County,93.75%,16,"$14,952,626",5.84%,-31.17%
Republic County,50.00%,4,"$2,882,176",33.46%,21.98%
Rice County,100.00%,5,"$4,135,320",-3.52%,-28.86%
Riley County,76.47%,34,"$49,814,738",1.08%,-36.77%
Rooks County,50.00%,2,"$45,762",12.20%,9.09%
Russell County,60.00%,5,"$4,087,015",44.90%,-6.14%
Saline County,85.71%,21,"$36,196,376",2.01%,-18.23%
Scott County,60.00%,5,"$2,868,066",8.85%,-12.82%
Sedgwick County,75.63%,119,"$151,389,509",2.26%,-19.90%
Seward County,100.00%,7,"$2,821,419",-1.75%,-64.46%
Shawnee County,87.14%,70,"$113,387,719",3.16%,-54.91%
Sheridan County,100.00%,1,"$51,020",-14.48%,-93.48%
Sherman County,80.00%,5,"$1,376,905",9.34%,-15.96%
Smith County,100.00%,2,"$523,850",0.25%,-6.59%
Stafford County,0.00%,2,"$653,913",23.94%,1.85%
Stevens County,75.00%,4,"$336,848",9.26%,-23.90%
Sumner County,100.00%,2,"$1,945,253",-5.19%,-52.06%
Thomas County,66.67%,3,"$1,146,156",3.09%,-36.77%
Trego County,0.00%,1,"$19,412",55.87%,39.72%
Wabaunsee County,100.00%,1,"$116,821",-35.94%,-80.83%
Wallace County,100.00%,2,"$820,431",6.34%,-21.07%
Washington County,100.00%,3,"$1,986,242",3.93%,-37.56%
Wichita County,100.00%,1,"$241,295",-5.61%,-90.24%
Wilson County,100.00%,3,"$819,393",-5.55%,-40.34%
Wyandotte County,83.33%,42,"$35,134,850",-0.23%,-35.53%
