Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",60.00%,40,"$19,259,127",4.30%,-11.37%
Education,72.97%,37,"$26,927,901",13.23%,-22.64%
Environment and animals,72.22%,36,"$10,785,930",9.71%,-18.92%
Health,90.00%,60,"$122,208,650",5.02%,-24.71%
Hospitals,43.75%,16,"$37,194,630",1.38%,0.57%
Human services,83.62%,293,"$187,549,669",6.52%,-46.79%
"Public, societal benefit",84.29%,70,"$121,763,867",1.82%,-45.58%
Religion-related,100.00%,6,"$1,986,276",-6.45%,-18.04%
Unclassified,81.52%,184,"$460,183,670",1.99%,-30.50%
Universities,62.50%,8,"$10,203,438",7.08%,-3.51%
Total,80.40%,750,"$998,063,158",4.39%,-33.50%
