Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.47%,274,"$49,209,872",10.43%,-37.70%
$10M or more,70.37%,81,"$606,141,385",2.08%,-14.80%
$1M to $4.9M,86.07%,201,"$203,923,927",0.49%,-44.48%
$500K to $999K,87.50%,96,"$37,629,164",3.65%,-36.76%
$5M to $9.9M,88.24%,34,"$97,339,041",0.05%,-30.03%
Less than $100K,68.75%,64,"$3,819,769",33.50%,-23.59%
Total,80.40%,750,"$998,063,158",4.39%,-33.50%
