Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Virginia,77.48%,"2,043","$4,826,006,126",2.59%,-23.87%
Accomack County,83.33%,18,"$9,573,749",8.86%,-42.09%
Albemarle County,86.21%,29,"$18,147,193",2.74%,-21.18%
Alexandria city,69.32%,88,"$329,848,821",2.38%,-13.85%
Alleghany County,75.00%,8,"$1,969,666",13.53%,-26.48%
Amelia County,100.00%,2,"$623,228",-8.93%,-76.23%
Amherst County,83.33%,6,"$5,756,067",1.57%,-9.98%
Appomattox County,75.00%,4,"$326,633",4.12%,-39.60%
Arlington County,81.58%,114,"$1,858,406,492",-0.14%,-32.43%
Augusta County,82.61%,23,"$21,001,923",0.29%,-26.90%
Bath County,75.00%,4,"$3,108,460",18.80%,-23.81%
Bedford County,64.71%,17,"$6,648,041",3.13%,-14.35%
Bland County,100.00%,3,"$3,693,231",0.67%,-26.00%
Botetourt County,66.67%,3,"$217,511",15.16%,-4.98%
Bristol city,60.00%,5,"$1,178,092",15.82%,-4.52%
Brunswick County,77.78%,9,"$2,527,446",14.37%,-27.54%
Buchanan County,87.50%,8,"$1,278,417",3.46%,-23.39%
Buckingham County,100.00%,3,"$14,044,302",-4.07%,-10.50%
Buena Vista city,100.00%,2,"$1,620,974",25.98%,-46.50%
Campbell County,55.56%,9,"$2,169,501",46.91%,-0.99%
Caroline County,100.00%,2,"$1,272,461",-28.46%,-89.18%
Carroll County,33.33%,6,"$3,060,376",17.14%,8.25%
Charles City County,100.00%,1,"$25,000",2.51%,-4.10%
Charlotte County,80.00%,5,"$850,325",-3.97%,-34.86%
Charlottesville city,72.73%,55,"$41,985,780",2.95%,-17.82%
Chesapeake city,77.78%,9,"$10,475,392",-0.69%,-48.31%
Chesterfield County,75.76%,33,"$19,114,130",-2.11%,-21.71%
Clarke County,85.71%,7,"$1,188,154",19.90%,-10.32%
Colonial Heights city,100.00%,2,"$689,386",-11.16%,-39.24%
Covington city,100.00%,1,"$414,733",1.89%,-92.22%
Culpeper County,87.50%,16,"$3,561,764",11.12%,-42.29%
Cumberland County,100.00%,1,"$26,906",-291.86%,-315.72%
Danville city,78.95%,19,"$16,225,967",1.08%,-45.82%
Dickenson County,100.00%,4,"$943,771",21.75%,-53.58%
Emporia city,75.00%,4,"$5,247,886",5.70%,-38.55%
Essex County,100.00%,5,"$3,557,336",12.95%,-49.01%
Fairfax County,76.39%,216,"$965,667,070",1.69%,-21.53%
Fairfax city,77.27%,22,"$40,462,998",2.81%,-42.29%
Falls Church city,87.50%,8,"$5,531,030",-1.04%,-39.94%
Fauquier County,78.57%,28,"$18,509,861",2.90%,-26.92%
Floyd County,75.00%,4,"$353,056",-4.89%,-28.74%
Fluvanna County,100.00%,4,"$670,333",-17.75%,-87.05%
Franklin County,75.00%,12,"$7,289,443",5.51%,-11.82%
Franklin city,100.00%,2,"$12,376,216",-4.51%,-70.83%
Frederick County,77.78%,9,"$1,129,669",7.24%,-11.56%
Fredericksburg city,80.95%,21,"$8,244,695",5.89%,-16.63%
Galax city,100.00%,5,"$685,158",25.33%,-41.79%
Giles County,100.00%,1,"$156,446",-2.16%,-13.62%
Gloucester County,75.00%,8,"$6,479,199",3.50%,-32.22%
Goochland County,87.50%,8,"$1,762,374",0.36%,-23.40%
Grayson County,25.00%,4,"$295,149",52.21%,27.95%
Greene County,100.00%,5,"$805,562",-26.13%,-34.62%
Greensville County,75.00%,4,"$1,712,243",5.43%,-29.89%
Halifax County,93.75%,16,"$25,714,675",10.07%,-39.26%
Hampton city,69.23%,13,"$24,735,640",6.46%,-8.63%
Hanover County,81.82%,11,"$2,602,381",-2.51%,-12.53%
Harrisonburg city,71.79%,39,"$19,144,953",2.21%,-26.11%
Henrico County,77.46%,71,"$215,400,971",4.96%,-23.97%
Henry County,71.43%,7,"$339,690",2.76%,-17.17%
Highland County,100.00%,6,"$2,194,684",-3.59%,-36.09%
Hopewell city,66.67%,3,"$136,005",3.42%,-7.17%
Isle of Wight County,100.00%,8,"$1,465,108",1.67%,-59.83%
James City County,80.00%,20,"$15,415,933",1.65%,-13.73%
King William County,100.00%,3,"$4,445,950",-0.95%,-100.04%
King and Queen County,100.00%,2,"$109,350",-78.34%,-120.42%
Lancaster County,50.00%,2,"$223,365",22.72%,7.74%
Lee County,100.00%,2,"$10,635,582",-2.42%,-37.99%
Lexington city,75.00%,4,"$683,722",4.23%,-12.32%
Loudoun County,75.86%,58,"$44,814,487",9.79%,-16.05%
Louisa County,100.00%,8,"$2,235,732",-5.60%,-92.15%
Lunenburg County,100.00%,3,"$3,594,079",3.87%,-42.47%
Lynchburg city,75.76%,33,"$29,529,049",1.86%,-16.36%
Madison County,80.00%,5,"$3,116,637",12.34%,-24.93%
Manassas city,76.92%,13,"$10,890,690",2.12%,-23.87%
Martinsville city,72.73%,11,"$10,725,856",0.21%,-40.26%
Mathews County,100.00%,3,"$1,032,965",5.03%,-32.37%
Mecklenburg County,82.35%,17,"$3,886,832",-0.36%,-50.86%
Middlesex County,71.43%,7,"$14,263,420",7.43%,-28.12%
Montgomery County,83.33%,24,"$179,735,741",2.69%,-42.44%
Nelson County,81.82%,11,"$4,118,389",4.10%,-21.42%
New Kent County,100.00%,2,"$634,362",8.18%,-87.37%
Newport News city,77.78%,27,"$67,652,643",1.80%,-11.84%
Norfolk city,87.04%,54,"$61,508,751",1.36%,-27.20%
Northampton County,46.15%,13,"$1,855,999",20.00%,5.82%
Northumberland County,54.55%,11,"$2,005,934",12.06%,-21.54%
Norton city,100.00%,1,"$3,265",-6.78%,-7.26%
Nottoway County,100.00%,5,"$1,406,934",11.73%,-22.99%
Orange County,90.91%,11,"$2,547,838",-1.04%,-21.92%
Page County,100.00%,6,"$1,633,885",7.56%,-27.82%
Patrick County,75.00%,12,"$488,878",-3.60%,-15.07%
Petersburg city,88.89%,9,"$3,715,061",1.92%,-75.65%
Pittsylvania County,88.89%,18,"$1,789,460",12.21%,-28.25%
