Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,87.23%,274,"$45,085,902",1.68%,-52.38%
$10M or more,75.94%,133,"$1,504,379,402",4.06%,-19.90%
$1M to $4.9M,88.17%,262,"$295,623,877",1.52%,-45.38%
$500K to $999K,84.71%,157,"$59,896,425",1.06%,-42.34%
$5M to $9.9M,82.67%,75,"$245,819,023",1.27%,-34.28%
Less than $100K,76.19%,42,"$4,380,993",35.56%,-21.27%
Total,84.62%,943,"$2,155,185,622",2.40%,-42.34%
