Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Virginia,77.48%,"2,043","$4,826,006,126",2.59%,-23.87%
10th Congressional district,77.60%,125,"$110,429,849",5.18%,-23.98%
11th Congressional district,75.00%,164,"$919,120,624",2.11%,-22.71%
1st Congressional district,77.36%,159,"$327,452,595",3.72%,-29.27%
2nd Congressional district,72.00%,100,"$48,788,969",5.94%,-13.35%
3rd Congressional district,83.49%,109,"$168,490,432",2.03%,-26.57%
4th Congressional district,76.06%,213,"$251,643,720",3.79%,-22.43%
5th Congressional district,80.94%,278,"$201,260,723",2.67%,-25.14%
6th Congressional district,72.79%,294,"$168,378,291",3.19%,-15.12%
7th Congressional district,86.67%,105,"$53,956,466",1.98%,-31.70%
8th Congressional district,77.22%,281,"$2,280,678,826",0.53%,-25.11%
9th Congressional district,78.14%,215,"$295,805,631",1.88%,-26.59%
