Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",50.00%,18,"$3,766,212",5.96%,-2.83%
Education,55.00%,20,"$8,006,052",3.50%,-2.53%
Environment and animals,50.00%,14,"$3,973,480",18.63%,4.98%
Health,59.18%,49,"$19,483,976",3.10%,-5.34%
Hospitals,66.67%,15,"$10,392,955",-0.23%,-2.47%
Human services,68.97%,116,"$68,885,465",7.20%,-13.51%
Mutual/membership benefit,100.00%,1,"$234,397",5.82%,-16.22%
"Public, societal benefit",64.29%,28,"$12,037,938",6.79%,-21.26%
Religion-related,75.00%,4,"$279,533",-9.46%,-19.09%
Unclassified,69.66%,89,"$124,463,636",6.44%,-24.69%
Universities,33.33%,3,"$26,062,222",20.82%,18.59%
Total,64.71%,357,"$277,585,866",5.69%,-10.94%
