Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Indiana,73.43%,"1,660","$2,732,295,709",5.68%,-22.79%
1st Congressional district,80.83%,120,"$307,722,133",5.41%,-36.35%
2nd Congressional district,67.61%,213,"$631,961,727",4.06%,-21.24%
3rd Congressional district,68.06%,191,"$170,700,147",6.12%,-14.41%
4th Congressional district,81.45%,124,"$121,313,449",2.69%,-28.94%
5th Congressional district,69.66%,145,"$132,344,119",6.55%,-18.99%
6th Congressional district,80.56%,108,"$91,147,534",3.10%,-32.95%
7th Congressional district,75.15%,334,"$863,906,168",4.19%,-27.54%
8th Congressional district,70.15%,201,"$204,109,211",10.30%,-17.58%
9th Congressional district,74.55%,224,"$209,091,221",6.81%,-23.32%
