Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,88.65%,141,"$26,134,442",0.58%,-51.99%
$10M or more,77.53%,316,"$11,583,563,269",0.47%,-20.38%
$1M to $4.9M,87.11%,388,"$374,375,839",-0.24%,-40.49%
$500K to $999K,87.79%,131,"$54,078,705",1.87%,-42.02%
$5M to $9.9M,83.89%,149,"$335,170,870",0.19%,-25.21%
Less than $100K,80.00%,15,"$555,779",8.99%,-23.54%
Total,84.21%,"1,140","$12,373,878,904",0.41%,-35.63%
