Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",67.12%,219,"$72,074,766",0.42%,-9.50%
Education,73.38%,139,"$185,517,758",4.49%,-16.63%
Environment and animals,65.71%,70,"$89,132,915",7.12%,-12.29%
Health,79.51%,205,"$216,241,891",1.78%,-30.48%
Hospitals,42.86%,14,"$44,627,183",1.89%,0.99%
Human services,81.06%,681,"$552,253,031",3.32%,-27.54%
"International, foreign affairs",77.78%,45,"$978,035,851",0.52%,-38.84%
"Public, societal benefit",82.80%,186,"$1,105,430,382",1.75%,-34.15%
Religion-related,86.21%,29,"$57,030,954",1.23%,-47.32%
Unclassified,78.59%,439,"$1,324,064,808",2.15%,-23.93%
Universities,50.00%,16,"$201,596,587",3.68%,-3.05%
Total,77.48%,"2,043","$4,826,006,126",2.59%,-23.87%
