Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Alabama,80.84%,"1,075","$2,403,606,332",4.61%,-36.71%
Autauga County,76.47%,17,"$8,828,769",16.44%,-67.41%
Baldwin County,76.19%,42,"$34,994,951",10.79%,-26.62%
Barbour County,85.71%,7,"$901,428",-2.02%,-46.59%
Bibb County,100.00%,1,"$17,850,162",2.88%,-25.97%
Blount County,80.00%,10,"$1,661,264",5.52%,-34.32%
Bullock County,100.00%,1,"$76,548",19.10%,-46.57%
Butler County,100.00%,6,"$3,924,023",13.34%,-50.55%
Calhoun County,82.86%,35,"$49,327,033",1.33%,-69.35%
Chambers County,100.00%,5,"$2,437,927",-3.58%,-28.06%
Cherokee County,100.00%,3,"$457,128",32.38%,-5.56%
Chilton County,60.00%,10,"$1,198,905",13.46%,-23.28%
Choctaw County,100.00%,2,"$211,576",11.29%,-49.86%
Clarke County,66.67%,6,"$3,424,832",11.90%,-45.48%
Clay County,33.33%,3,"$106,067",7.15%,1.55%
Cleburne County,100.00%,2,"$1,066,864",21.85%,-63.95%
Coffee County,71.43%,7,"$8,200,160",6.98%,-66.25%
Colbert County,87.50%,8,"$3,169,092",1.43%,-53.99%
Coosa County,0.00%,2,"$93,072",51.45%,43.18%
Covington County,80.00%,5,"$6,113,430",0.93%,-28.24%
Crenshaw County,100.00%,1,"$118,879",-48.58%,-143.69%
Cullman County,75.00%,12,"$2,810,920",3.78%,-8.10%
Dale County,80.00%,5,"$2,177,432",2.63%,-42.97%
Dallas County,81.82%,22,"$24,229,113",10.65%,-38.91%
DeKalb County,81.82%,11,"$25,886,011",2.51%,-19.34%
Elmore County,87.50%,8,"$2,294,772",1.26%,-17.71%
Escambia County,60.00%,5,"$2,863,010",22.51%,-6.87%
Etowah County,92.86%,28,"$31,730,406",3.27%,-45.52%
Fayette County,75.00%,4,"$795,415",6.60%,-55.27%
Greene County,100.00%,1,"$361,500",87.78%,-2.29%
Hale County,100.00%,1,"$15,600",-26.64%,-40.76%
Henry County,100.00%,3,"$2,214,391",-5.40%,-97.38%
Houston County,80.65%,31,"$14,644,844",6.10%,-39.18%
Jackson County,66.67%,6,"$5,400,245",16.10%,-26.39%
Jefferson County,83.80%,216,"$1,133,863,920",2.48%,-35.98%
Lamar County,100.00%,1,"$223,960",18.64%,-71.93%
Lauderdale County,85.00%,20,"$9,882,242",0.30%,-44.21%
Lawrence County,0.00%,1,"$31,072",43.28%,6.17%
Lee County,83.33%,24,"$35,487,838",5.54%,-56.44%
Limestone County,81.82%,11,"$984,614",6.88%,-27.22%
Lowndes County,100.00%,1,"$11,602",-10.45%,-12.86%
Macon County,80.00%,5,"$81,770,679",10.94%,-27.10%
Madison County,75.95%,79,"$91,930,570",1.03%,-21.11%
Marengo County,100.00%,3,"$2,061,329",19.62%,-5.24%
Marion County,83.33%,6,"$3,871,745",19.15%,-20.09%
Marshall County,55.56%,18,"$2,972,761",9.94%,-23.50%
Mobile County,80.00%,90,"$145,435,660",3.83%,-42.38%
Monroe County,100.00%,3,"$698,729",-0.25%,-81.48%
Montgomery County,82.83%,99,"$423,006,580",4.90%,-39.84%
Morgan County,84.62%,26,"$49,462,968",3.80%,-30.74%
Perry County,100.00%,3,"$4,094,939",9.46%,-62.10%
Pickens County,66.67%,3,"$4,898,692",5.94%,-89.93%
Pike County,76.92%,13,"$17,271,058",1.26%,-45.94%
Randolph County,50.00%,4,"$39,806",-5.30%,-11.94%
Russell County,100.00%,8,"$2,445,980",6.51%,-51.98%
Shelby County,71.43%,28,"$15,878,848",5.13%,-23.97%
St. Clair County,72.73%,11,"$1,164,435",18.40%,-45.43%
Sumter County,75.00%,4,"$2,110,674",-6.33%,-15.55%
Talladega County,80.00%,10,"$16,533,077",-3.63%,-79.91%
Tallapoosa County,77.78%,9,"$10,175,258",-0.02%,-23.12%
Tuscaloosa County,83.67%,49,"$69,358,732",4.66%,-35.04%
Walker County,100.00%,12,"$14,817,789",6.31%,-54.53%
Washington County,100.00%,1,"$1,510,322",-26.64%,-120.75%
Wilcox County,75.00%,4,"$715,123",13.00%,-38.81%
Winston County,66.67%,3,"$1,309,561",45.47%,-26.08%
