Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",73.15%,149,"$132,714,959",6.21%,-17.50%
Education,74.59%,181,"$628,031,437",6.41%,-24.29%
Environment and animals,69.84%,63,"$52,314,140",6.45%,-15.41%
Health,79.12%,182,"$316,274,912",7.91%,-24.92%
Hospitals,71.43%,21,"$476,734,987",-0.10%,-4.17%
Human services,80.46%,614,"$668,387,792",2.38%,-39.59%
"International, foreign affairs",76.92%,13,"$4,452,782",7.11%,-15.01%
Mutual/membership benefit,100.00%,1,"$42,807",33.82%,-1.20%
"Public, societal benefit",77.44%,164,"$212,656,792",4.01%,-33.80%
Religion-related,74.29%,35,"$18,007,162",-1.21%,-35.37%
Unclassified,81.27%,283,"$587,899,223",2.63%,-34.33%
Universities,44.00%,25,"$239,535,546",5.28%,1.47%
Total,77.76%,"1,731","$3,337,052,539",3.96%,-29.39%
