Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Pennsylvania,76.70%,"4,752","$8,115,869,517",2.97%,-22.09%
10th Congressional district,75.95%,316,"$968,724,357",3.21%,-22.58%
11th Congressional district,72.73%,220,"$79,775,311",3.70%,-15.86%
12th Congressional district,81.65%,436,"$750,082,268",0.61%,-29.69%
13th Congressional district,75.60%,377,"$495,061,783",5.35%,-21.35%
14th Congressional district,74.37%,277,"$252,910,540",2.86%,-25.31%
15th Congressional district,75.40%,374,"$193,057,738",2.63%,-20.60%
16th Congressional district,80.75%,322,"$863,973,663",2.07%,-34.80%
17th Congressional district,78.39%,236,"$155,103,234",3.16%,-31.02%
1st Congressional district,78.69%,183,"$172,089,711",5.00%,-17.78%
2nd Congressional district,79.90%,199,"$768,810,727",3.50%,-24.62%
3rd Congressional district,79.70%,335,"$1,590,266,264",1.89%,-22.16%
4th Congressional district,81.31%,214,"$134,863,977",2.13%,-23.30%
5th Congressional district,73.68%,209,"$330,105,109",5.22%,-20.68%
6th Congressional district,76.69%,236,"$177,259,031",3.95%,-22.94%
7th Congressional district,76.86%,229,"$440,678,635",0.50%,-23.04%
8th Congressional district,74.52%,263,"$505,462,475",2.74%,-23.13%
9th Congressional district,67.48%,326,"$237,644,694",4.69%,-13.31%
