Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Idaho,76.92%,416,"$644,779,017",4.34%,-30.36%
Ada County,77.86%,131,"$261,923,337",1.35%,-37.56%
Adams County,100.00%,1,"$2,898,757",19.71%,-24.70%
Bannock County,94.44%,18,"$30,478,045",3.29%,-47.06%
Benewah County,100.00%,1,"$13,190",-10.38%,-16.97%
Bingham County,70.00%,10,"$9,847,629",-1.06%,-32.09%
Blaine County,41.18%,17,"$5,357,788",13.14%,3.50%
Boise County,100.00%,1,"$60,476",12.68%,-86.03%
Bonner County,72.73%,11,"$17,059,397",15.20%,-8.24%
Bonneville County,84.21%,19,"$31,089,983",11.09%,-38.54%
Boundary County,100.00%,4,"$290,147",-5.03%,-44.08%
Canyon County,75.86%,29,"$95,600,536",9.53%,-56.29%
Caribou County,100.00%,3,"$52,027",-7.34%,-17.14%
Clearwater County,33.33%,3,"$584,956",8.50%,7.51%
Custer County,0.00%,2,"$62,388",15.17%,7.41%
Elmore County,100.00%,4,"$7,088,574",7.04%,-30.40%
Franklin County,100.00%,1,"$54,921",-10.30%,-27.05%
Fremont County,100.00%,3,"$1,714,349",2.91%,-28.44%
Gem County,100.00%,3,"$3,278,663",-1.27%,-68.33%
Gooding County,66.67%,3,"$2,378,780",8.07%,-22.84%
Idaho County,40.00%,5,"$696,567",12.51%,4.69%
Jefferson County,100.00%,1,"$432,854",-48.46%,-145.06%
Jerome County,100.00%,2,"$2,598,365",7.20%,-51.08%
Kootenai County,72.97%,37,"$39,183,179",2.18%,-31.67%
Latah County,85.19%,27,"$39,640,314",7.50%,-30.13%
Lemhi County,70.00%,10,"$2,596,359",2.88%,-26.01%
Lewis County,100.00%,1,"$186,630",5.67%,-34.43%
Madison County,100.00%,2,"$908,766",1.98%,-46.45%
Minidoka County,100.00%,1,"$132,018",-12.32%,-53.92%
Nez Perce County,73.33%,15,"$19,849,668",0.27%,-28.08%
Oneida County,100.00%,1,"$348,159",7.28%,-53.23%
Owyhee County,66.67%,3,"$901,395",58.90%,-7.12%
Payette County,100.00%,4,"$29,638,162",-0.12%,-68.44%
Shoshone County,100.00%,1,"$83,258",-0.65%,-20.80%
Teton County,72.73%,11,"$4,572,417",4.49%,-11.21%
Twin Falls County,85.71%,21,"$30,393,682",5.42%,-26.49%
Valley County,57.14%,7,"$1,497,345",11.24%,-40.48%
Washington County,66.67%,3,"$1,285,936",15.09%,-37.61%
