Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.38%,435,"$66,987,750",2.74%,-43.90%
$10M or more,73.52%,219,"$3,872,779,756",1.29%,-11.24%
$1M to $4.9M,82.79%,430,"$387,790,260",1.26%,-32.25%
$500K to $999K,85.50%,269,"$91,655,111",3.38%,-36.25%
$5M to $9.9M,85.45%,110,"$289,137,504",0.11%,-29.27%
Less than $100K,67.21%,61,"$34,577,066",31.89%,-12.04%
Total,81.10%,"1,524","$4,742,927,447",2.39%,-31.52%
