Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.60%,168,"$55,481,160",0.83%,-14.86%
Education,82.03%,128,"$229,410,666",2.92%,-22.73%
Environment and animals,46.30%,54,"$69,136,408",16.63%,2.97%
Health,81.74%,115,"$365,327,113",1.21%,-31.26%
Hospitals,75.00%,8,"$7,633,528",-6.00%,-6.27%
Human services,82.47%,388,"$825,785,555",2.16%,-37.86%
"International, foreign affairs",88.89%,9,"$486,841,388",-4.06%,-14.78%
"Public, societal benefit",78.05%,82,"$174,151,625",1.71%,-36.79%
Religion-related,85.71%,7,"$1,373,604",10.52%,-13.63%
Unclassified,83.56%,298,"$553,033,134",0.47%,-29.51%
Universities,58.33%,12,"$892,112,467",5.73%,-1.82%
Total,79.67%,"1,269","$3,660,286,648",1.87%,-25.14%
