Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",78.02%,91,"$17,972,922",3.68%,-15.88%
Education,82.93%,123,"$899,755,264",5.28%,-49.80%
Environment and animals,82.14%,28,"$50,733,100",1.14%,-35.65%
Health,80.46%,87,"$291,096,429",3.55%,-28.54%
Hospitals,40.00%,5,"$35,138,091",8.53%,1.38%
Human services,89.21%,343,"$390,256,180",1.26%,-58.16%
"International, foreign affairs",50.00%,2,"$61,293",7.53%,-26.48%
"Public, societal benefit",80.00%,85,"$87,363,678",2.47%,-45.16%
Religion-related,90.91%,11,"$1,731,868",0.61%,-53.16%
Unclassified,85.98%,164,"$374,574,938",1.54%,-47.89%
Universities,100.00%,4,"$6,501,859",-2.50%,-10.79%
Total,84.62%,943,"$2,155,185,622",2.40%,-42.34%
