Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Nevada,81.23%,389,"$1,317,594,827",4.03%,-37.52%
Carson City,75.00%,20,"$46,302,445",8.22%,-42.57%
Churchill County,88.89%,9,"$17,948,999",-8.68%,-92.20%
Clark County,85.57%,201,"$836,882,337",2.33%,-38.28%
Douglas County,70.00%,10,"$34,238,041",16.44%,-25.21%
Elko County,81.25%,16,"$14,158,114",11.32%,-30.10%
Humboldt County,100.00%,4,"$1,875,472",-7.70%,-62.20%
Lincoln County,0.00%,1,"$1,000,000",99.15%,5.01%
Lyon County,100.00%,6,"$13,026,264",2.55%,-34.09%
Mineral County,100.00%,1,"$55,000",-9.26%,-24.42%
Nye County,100.00%,6,"$9,548,233",6.85%,-79.65%
Pershing County,0.00%,1,"$89,093",38.15%,32.62%
Storey County,100.00%,5,"$22,925,488",6.03%,-32.18%
Washoe County,72.12%,104,"$314,602,883",5.04%,-33.85%
White Pine County,80.00%,5,"$4,942,458",1.79%,-84.14%
