Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Indiana,73.43%,"1,660","$2,732,295,709",5.68%,-22.79%
Adams County,60.00%,5,"$1,255,318",24.73%,-20.11%
Allen County,68.32%,101,"$131,876,410",4.63%,-14.38%
Bartholomew County,89.66%,29,"$42,718,387",-2.16%,-33.35%
Blackford County,100.00%,2,"$105,989",-22.61%,-79.80%
Boone County,76.47%,17,"$13,998,314",-1.27%,-31.09%
Brown County,33.33%,9,"$1,267,506",24.58%,7.06%
Carroll County,100.00%,1,"$16,000",4.63%,-1.02%
Cass County,75.00%,4,"$10,852,105",6.96%,-50.06%
Clark County,88.89%,18,"$32,381,862",-0.05%,-12.63%
Clay County,20.00%,5,"$548,709",45.15%,25.41%
Clinton County,85.71%,7,"$1,524,490",-2.10%,-16.16%
Crawford County,100.00%,1,"$201,000",48.95%,-23.33%
Daviess County,50.00%,8,"$2,481,837",12.46%,-4.74%
DeKalb County,63.64%,11,"$5,245,346",9.06%,-33.83%
Dearborn County,80.77%,26,"$24,421,338",4.03%,-37.27%
Decatur County,66.67%,9,"$1,270,780",16.41%,-13.73%
Delaware County,74.19%,31,"$25,956,971",9.86%,-27.28%
Dubois County,71.43%,14,"$7,481,536",12.37%,-17.86%
Elkhart County,69.57%,46,"$297,503,799",1.91%,-22.10%
Fayette County,100.00%,5,"$1,740,908",22.09%,-41.97%
Floyd County,87.50%,16,"$17,928,930",3.16%,-50.58%
Fountain County,100.00%,2,"$9,058,536",33.70%,-54.78%
Franklin County,83.33%,6,"$1,374,489",21.56%,-34.32%
Fulton County,70.00%,10,"$1,073,456",2.42%,-29.80%
Gibson County,66.67%,6,"$1,715,876",14.10%,-21.86%
Grant County,71.43%,14,"$16,405,321",9.83%,-20.94%
Greene County,66.67%,3,"$153,367",2.44%,-3.27%
Hamilton County,67.24%,58,"$67,388,938",4.08%,-15.97%
Hancock County,60.00%,10,"$7,387,387",9.82%,-18.58%
Harrison County,87.50%,8,"$1,388,742",4.06%,-34.79%
Hendricks County,84.62%,13,"$18,662,513",8.07%,-21.25%
Henry County,100.00%,3,"$660,025",-2.06%,-75.47%
Howard County,76.47%,17,"$11,813,121",4.51%,-25.14%
Huntington County,83.33%,12,"$7,216,999",11.92%,-10.89%
Jackson County,81.82%,11,"$3,706,862",7.81%,-30.86%
Jasper County,66.67%,6,"$1,579,606",5.04%,-59.89%
Jay County,66.67%,6,"$3,851,992",6.88%,-5.93%
Jefferson County,76.47%,17,"$22,754,091",7.77%,-29.40%
Jennings County,33.33%,3,"$430,547",21.81%,2.20%
Johnson County,76.47%,17,"$8,850,961",5.96%,-14.13%
Knox County,81.82%,11,"$20,852,604",11.69%,-21.87%
Kosciusko County,56.52%,23,"$22,880,840",8.80%,-8.19%
LaGrange County,66.67%,9,"$3,117,875",-0.94%,-4.24%
LaPorte County,72.22%,18,"$11,565,979",6.70%,-22.16%
Lake County,86.15%,65,"$213,520,567",6.95%,-40.62%
Lawrence County,76.92%,13,"$21,943,402",11.59%,-49.74%
Madison County,68.18%,22,"$10,445,018",6.75%,-12.97%
Marion County,74.64%,343,"$871,782,732",4.18%,-27.21%
Marshall County,16.67%,6,"$356,335",14.97%,5.78%
Martin County,100.00%,1,"$282,106",39.86%,-54.57%
Miami County,75.00%,8,"$11,031,258",9.49%,-12.55%
Monroe County,72.55%,51,"$69,081,216",4.22%,-21.10%
Montgomery County,88.89%,9,"$1,016,903",-5.85%,-30.38%
Morgan County,73.33%,15,"$3,386,345",16.98%,-22.63%
Newton County,100.00%,1,"$470,986",5.25%,-83.42%
Noble County,71.43%,14,"$9,137,679",5.76%,-17.31%
Ohio County,60.00%,5,"$501,505",5.30%,-46.99%
Orange County,83.33%,6,"$3,190,906",21.84%,-51.64%
Owen County,50.00%,2,"$72,000",3.73%,-0.74%
Parke County,100.00%,3,"$433,776",-0.63%,-24.36%
Perry County,80.00%,5,"$10,070,042",-3.70%,-15.33%
Pike County,100.00%,1,"$199,888",-72.01%,-150.50%
Porter County,76.92%,39,"$82,938,136",3.17%,-23.66%
Posey County,100.00%,8,"$993,790",-11.98%,-41.00%
Pulaski County,33.33%,3,"$412,179",17.81%,2.84%
Putnam County,100.00%,3,"$70,762",-30.21%,-31.05%
Randolph County,100.00%,4,"$1,131,779",-4.92%,-84.58%
Ripley County,53.85%,13,"$5,915,822",9.65%,-10.02%
Rush County,100.00%,5,"$3,132,663",4.84%,-61.19%
Scott County,71.43%,7,"$2,416,183",2.77%,-44.78%
Shelby County,85.71%,7,"$3,557,245",-0.90%,-71.32%
Spencer County,100.00%,3,"$306,921",2.36%,-42.24%
St. Joseph County,72.63%,95,"$276,880,654",2.31%,-30.53%
Starke County,60.00%,5,"$1,713,806",16.55%,-7.49%
Steuben County,54.55%,11,"$4,532,098",22.42%,-11.45%
Sullivan County,50.00%,4,"$8,403,931",34.47%,20.06%
Switzerland County,100.00%,10,"$2,288,924",-3.87%,-38.64%
Tippecanoe County,85.00%,40,"$76,339,691",0.00%,-34.44%
Tipton County,33.33%,3,"$334,750",19.80%,3.41%
Union County,100.00%,4,"$2,233,662",4.98%,-67.74%
Vanderburgh County,60.81%,74,"$92,816,286",11.49%,-9.34%
Vermillion County,66.67%,3,"$6,529,787",13.83%,-51.51%
Vigo County,79.41%,34,"$34,269,200",10.38%,-17.89%
Wabash County,63.16%,19,"$12,119,879",3.32%,-21.15%
Warren County,100.00%,1,"$9,067",0.16%,-16.68%
Warrick County,87.50%,8,"$4,572,602",-3.25%,-24.09%
Washington County,0.00%,2,"$19,022",5.18%,3.62%
Wayne County,72.22%,18,"$12,929,732",4.47%,-30.61%
Wells County,42.86%,7,"$1,802,009",17.88%,2.91%
White County,71.43%,7,"$1,094,848",10.63%,-11.73%
Whitley County,80.00%,5,"$939,955",-8.47%,-20.25%
