Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.62%,231,"$96,510,699",0.82%,-18.57%
Education,73.93%,326,"$392,529,781",4.50%,-12.21%
Environment and animals,78.36%,134,"$149,803,853",4.11%,-24.98%
Health,81.25%,144,"$315,891,239",4.65%,-27.89%
Hospitals,80.00%,5,"$12,030,078",7.37%,-17.67%
Human services,78.98%,709,"$802,431,158",3.16%,-29.53%
"International, foreign affairs",52.94%,17,"$2,970,663",4.39%,-2.51%
Mutual/membership benefit,100.00%,2,"$158,447",13.00%,-83.52%
"Public, societal benefit",73.48%,181,"$429,113,042",7.07%,-26.57%
Religion-related,73.91%,23,"$30,182,693",6.59%,-20.49%
Unclassified,79.64%,334,"$632,018,154",1.76%,-21.56%
Universities,60.00%,5,"$17,680,909",4.78%,-8.95%
Total,77.40%,"2,111","$2,881,320,716",3.52%,-21.40%
