Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.14%,247,"$30,535,961",3.83%,-29.60%
$10M or more,78.26%,184,"$2,918,738,379",2.66%,-19.54%
$1M to $4.9M,82.63%,334,"$355,721,323",2.08%,-31.34%
$500K to $999K,79.63%,162,"$49,189,025",2.30%,-27.91%
$5M to $9.9M,77.87%,122,"$437,962,776",3.53%,-25.41%
Less than $100K,60.47%,43,"$4,094,477",29.01%,-11.27%
Total,79.03%,"1,092","$3,796,241,941",3.18%,-26.34%
