Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.43%,932,"$152,281,853",7.31%,-44.27%
$10M or more,73.45%,226,"$4,675,488,139",2.88%,-13.84%
$1M to $4.9M,79.59%,730,"$832,034,878",3.55%,-31.76%
$500K to $999K,81.29%,465,"$189,630,399",4.52%,-30.00%
$5M to $9.9M,83.24%,173,"$563,695,801",1.39%,-26.25%
Less than $100K,71.19%,118,"$13,409,762",20.68%,-25.09%
Total,78.82%,"2,644","$6,426,540,832",4.43%,-32.90%
