Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Iowa,70.77%,"1,098","$998,301,170",3.08%,-12.44%
Adair County,100.00%,1,"$9,047",-40.98%,-46.97%
Adams County,100.00%,1,"$17,894",-105.65%,-124.66%
Allamakee County,80.00%,5,"$529,241",2.70%,-2.13%
Appanoose County,57.14%,7,"$718,750",6.05%,-7.86%
Audubon County,66.67%,3,"$737,343",19.10%,-10.76%
Benton County,40.00%,5,"$5,127,264",14.63%,9.97%
Black Hawk County,76.60%,47,"$61,944,055",1.78%,-16.76%
Boone County,83.33%,6,"$1,604,476",0.24%,-7.92%
Bremer County,33.33%,9,"$1,799,070",5.72%,2.02%
Buchanan County,100.00%,2,"$693,144",-25.42%,-77.30%
Buena Vista County,100.00%,3,"$3,163,685",0.05%,-7.00%
Butler County,75.00%,4,"$231,284",2.29%,-14.44%
Calhoun County,100.00%,2,"$402,158",28.90%,-11.58%
Carroll County,63.64%,11,"$21,170,188",4.94%,-8.32%
Cass County,75.00%,8,"$1,746,873",6.58%,-9.97%
Cedar County,55.56%,9,"$870,936",0.49%,-8.17%
Cerro Gordo County,89.47%,19,"$27,681,258",-7.49%,-50.61%
Cherokee County,20.00%,5,"$709,885",20.91%,9.58%
Chickasaw County,100.00%,4,"$126,830",-4.21%,-25.89%
Clarke County,100.00%,3,"$147,756",-22.27%,-27.29%
Clay County,57.14%,7,"$1,805,685",16.92%,-27.14%
Clayton County,60.00%,10,"$912,703",8.50%,-0.37%
Clinton County,76.47%,17,"$2,530,262",-0.20%,-27.70%
Crawford County,28.57%,7,"$637,182",20.94%,7.19%
Dallas County,53.33%,15,"$9,853,154",3.46%,-1.83%
Davis County,66.67%,3,"$246,919",20.67%,-20.94%
Decatur County,83.33%,6,"$2,109,722",-7.59%,-45.76%
Delaware County,100.00%,3,"$330,318",-2.22%,-11.96%
Des Moines County,85.71%,14,"$27,930,535",3.76%,-25.92%
