Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
South Dakota,70.90%,378,"$568,476,754",5.16%,-16.62%
Beadle County,80.00%,10,"$2,626,049",-0.75%,-14.37%
Bennett County,100.00%,4,"$1,347,915",0.07%,-23.83%
Bon Homme County,50.00%,2,"$63,753",1.51%,1.10%
Brookings County,92.86%,14,"$18,257,815",7.95%,-42.66%
Brown County,72.73%,11,"$10,546,648",4.36%,-1.78%
Brule County,100.00%,4,"$344,241",-7.98%,-77.35%
Butte County,100.00%,3,"$2,599,982",-9.78%,-98.34%
Campbell County,0.00%,1,"$12,492",21.19%,16.04%
Charles Mix County,55.56%,9,"$26,517,069",11.67%,-37.64%
Clark County,0.00%,1,"$48,945",82.96%,19.81%
Clay County,88.89%,9,"$761,443",-8.58%,-26.25%
Codington County,63.64%,11,"$21,839,885",10.71%,-4.90%
Corson County,100.00%,1,"$281,242",13.14%,-84.23%
Custer County,100.00%,3,"$460,715",6.60%,-17.20%
Davison County,88.89%,9,"$8,189,008",8.78%,-18.52%
Day County,33.33%,3,"$6,677,308",19.54%,0.63%
Dewey County,100.00%,3,"$732,644",-13.17%,-39.57%
Douglas County,0.00%,1,"$328,957",5.26%,2.69%
Fall River County,66.67%,3,"$761,664",2.63%,-2.16%
Faulk County,100.00%,1,"$28,223",-3.39%,-3.64%
Gregory County,66.67%,3,"$238,371",-0.17%,-35.15%
Haakon County,0.00%,2,"$370,961",22.66%,20.86%
Hamlin County,0.00%,1,"$20,111",76.54%,42.55%
Hand County,100.00%,1,"$6,969",-9.05%,-11.35%
Hughes County,84.62%,13,"$13,021,839",0.35%,-55.46%
Hutchinson County,50.00%,4,"$97,792",-7.08%,-20.40%
Hyde County,100.00%,1,"$50,000",-43.58%,-52.12%
Jackson County,66.67%,6,"$73,830,528",11.00%,-37.58%
Jones County,100.00%,1,"$19,034",-2.21%,-19.69%
Kingsbury County,100.00%,1,"$14,844",-24.33%,-30.54%
Lake County,55.56%,9,"$17,300,103",8.25%,-7.67%
Lawrence County,80.00%,15,"$4,586,797",3.61%,-36.50%
Lincoln County,57.14%,7,"$1,262,463",5.85%,-3.53%
Lyman County,50.00%,2,"$482,319",29.95%,-14.05%
Marshall County,50.00%,2,"$317,388",-54.21%,-74.96%
McCook County,50.00%,2,"$4,191",-0.84%,-3.02%
McPherson County,33.33%,3,"$124,895",4.69%,2.83%
Meade County,77.78%,9,"$2,669,522",4.78%,-21.44%
Miner County,100.00%,2,"$13,507,942",-2.89%,-25.21%
Minnehaha County,58.82%,68,"$121,310,567",10.60%,-7.91%
Oglala Lakota County,87.50%,8,"$3,473,412",1.61%,-32.00%
Pennington County,74.14%,58,"$146,631,935",3.97%,-21.63%
Perkins County,80.00%,5,"$1,935,600",22.47%,-47.88%
Potter County,50.00%,2,"$347,224",-1.18%,-29.26%
Roberts County,80.00%,5,"$11,050,112",7.85%,-1.70%
Spink County,100.00%,1,$500,-47.16%,-47.36%
Stanley County,75.00%,4,"$3,596,514",38.10%,-3.31%
Todd County,100.00%,6,"$24,702,752",2.54%,-73.88%
Tripp County,80.00%,5,"$5,557,747",9.78%,-30.79%
Turner County,0.00%,2,"$2,764,384",27.70%,9.35%
Union County,75.00%,4,"$160,842",2.62%,-21.55%
Walworth County,60.00%,5,"$842,050",-2.14%,-3.12%
Yankton County,66.67%,15,"$11,098,043",9.89%,-12.00%
Ziebach County,66.67%,3,"$4,653,005",24.65%,-10.17%
