Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.32%,411,"$57,844,705",5.82%,-32.91%
$10M or more,69.82%,285,"$1,974,457,144",1.98%,-9.13%
$1M to $4.9M,78.50%,428,"$407,799,695",4.22%,-28.82%
$500K to $999K,81.43%,237,"$93,094,039",4.20%,-38.26%
$5M to $9.9M,73.27%,101,"$246,494,071",2.42%,-20.00%
Less than $100K,54.79%,73,"$11,131,374",26.64%,-1.76%
Total,76.09%,"1,535","$2,790,821,028",4.10%,-24.78%
