Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.32%,701,"$82,485,417",3.93%,-30.08%
$10M or more,70.12%,251,"$3,931,622,337",1.26%,-10.75%
$1M to $4.9M,79.38%,514,"$445,148,483",2.14%,-27.15%
$500K to $999K,79.63%,324,"$80,996,148",0.93%,-22.88%
$5M to $9.9M,76.12%,134,"$276,212,579",2.01%,-18.45%
Less than $100K,69.75%,119,"$9,541,162",27.09%,-12.29%
Total,77.48%,"2,043","$4,826,006,126",2.59%,-23.87%
