Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Texas,79.40%,"3,538","$13,292,375,464",2.48%,-29.22%
Anderson County,100.00%,4,"$6,655,602",0.08%,-65.10%
Andrews County,100.00%,1,"$449,668",8.05%,-72.66%
Angelina County,83.33%,24,"$88,230,266",4.46%,-49.35%
Aransas County,75.00%,8,"$990,420",4.96%,-43.10%
Archer County,50.00%,2,"$34,327",4.71%,-4.63%
Atascosa County,100.00%,7,"$10,826,881",12.52%,-70.06%
Austin County,83.33%,6,"$596,604",-4.07%,-42.53%
Bandera County,85.71%,7,"$1,105,727",-5.78%,-8.17%
Bastrop County,69.23%,13,"$11,543,044",5.00%,-40.94%
Bee County,75.00%,4,"$5,862,362",-0.50%,-77.96%
Bell County,87.27%,55,"$81,026,155",-0.29%,-41.15%
Bexar County,78.14%,247,"$2,783,984,129",4.03%,-30.66%
Blanco County,100.00%,3,"$830,719",2.58%,-55.09%
Bosque County,66.67%,3,"$1,033,939",-2.37%,-2.93%
Bowie County,86.67%,15,"$49,048,723",-2.96%,-64.48%
Brazoria County,95.45%,44,"$34,520,136",-0.87%,-39.39%
Brazos County,76.92%,39,"$63,375,605",4.34%,-35.78%
Brewster County,55.56%,9,"$4,925,122",10.08%,-23.82%
Briscoe County,0.00%,1,"$2,564",38.70%,36.62%
Brooks County,100.00%,1,"$161,354",22.40%,-38.26%
Brown County,75.00%,8,"$6,953,116",16.48%,-57.25%
Burleson County,100.00%,1,"$30,000",0.50%,-0.46%
Burnet County,81.25%,16,"$5,996,672",2.14%,-50.26%
Caldwell County,0.00%,3,"$176,215",18.29%,9.56%
Calhoun County,100.00%,3,"$721,891",9.86%,-50.00%
Callahan County,66.67%,3,"$242,274",13.83%,-12.43%
Cameron County,86.05%,43,"$73,143,472",4.11%,-33.41%
Camp County,100.00%,1,"$8,500",-15.95%,-26.90%
Carson County,100.00%,1,"$48,149",-0.73%,-23.23%
Cass County,100.00%,1,"$9,122,370",-1.30%,-100.93%
Castro County,100.00%,2,"$767,735",-21.14%,-80.15%
Chambers County,83.33%,6,"$4,772,954",4.39%,-48.73%
Cherokee County,66.67%,3,"$1,438,735",-5.79%,-45.08%
Childress County,100.00%,1,"$115,848",22.25%,-16.67%
Clay County,100.00%,1,"$76,627",-11.56%,-43.48%
Cochran County,0.00%,1,"$72,875",74.07%,60.08%
Coke County,100.00%,1,"$1,299",-55.76%,-57.06%
Coleman County,100.00%,1,"$9,825,729",12.85%,-73.96%
Collin County,67.65%,68,"$34,909,284",5.12%,-15.96%
Collingsworth County,100.00%,1,"$103,941",-0.73%,-42.64%
