Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Wyoming,79.02%,286,"$263,169,613",3.64%,-34.67%
Albany County,80.00%,25,"$16,735,555",0.22%,-29.39%
Big Horn County,100.00%,3,"$1,236,091",6.30%,-81.23%
Campbell County,58.33%,12,"$10,592,444",6.62%,-6.87%
Carbon County,77.78%,9,"$3,034,102",9.23%,-70.73%
Converse County,87.50%,8,"$4,284,202",4.27%,-54.17%
Crook County,33.33%,3,"$760,031",36.42%,21.77%
Fremont County,90.91%,22,"$12,576,211",0.88%,-50.50%
Goshen County,40.00%,5,"$1,251,444",7.64%,2.53%
Hot Springs County,66.67%,3,"$720,938",-6.63%,-7.79%
Johnson County,57.14%,7,"$1,698,057",9.53%,-13.93%
Laramie County,86.84%,38,"$43,569,118",3.58%,-32.00%
Lincoln County,75.00%,8,"$8,069,024",16.84%,-37.10%
Natrona County,93.33%,30,"$29,560,722",-3.16%,-44.95%
Niobrara County,100.00%,1,"$342,404",14.59%,-43.42%
Park County,80.95%,21,"$9,984,815",2.43%,-28.61%
Platte County,100.00%,3,"$15,675,769",-0.35%,-89.26%
Sheridan County,81.82%,22,"$57,642,666",3.48%,-27.87%
Sublette County,75.00%,8,"$2,073,417",7.25%,-33.34%
Sweetwater County,90.00%,10,"$3,789,207",-9.09%,-76.44%
Teton County,55.88%,34,"$15,067,300",14.37%,-1.63%
Uinta County,100.00%,6,"$11,192,361",7.29%,-65.75%
Washakie County,100.00%,5,"$11,616,003",0.38%,-82.28%
Weston County,66.67%,3,"$1,697,732",0.26%,-66.55%
