Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",61.90%,21,"$2,271,195",10.92%,-6.31%
Education,75.00%,24,"$37,130,792",3.19%,-64.95%
Environment and animals,70.59%,17,"$4,297,980",4.82%,-25.70%
Health,82.61%,23,"$22,926,653",1.48%,-44.61%
Hospitals,50.00%,2,"$3,129,065",8.24%,7.26%
Human services,75.27%,93,"$86,394,299",4.97%,-25.76%
"Public, societal benefit",80.00%,20,"$9,293,789",0.14%,-31.66%
Religion-related,75.00%,4,"$3,360,814",23.00%,-16.23%
Unclassified,90.12%,81,"$94,075,635",2.43%,-48.78%
Universities,100.00%,1,"$289,391",-20.51%,-29.39%
Total,79.02%,286,"$263,169,613",3.64%,-34.67%
