Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.85%,635,"$88,829,242",5.23%,-24.66%
$10M or more,71.69%,438,"$5,442,535,048",2.05%,-11.65%
$1M to $4.9M,82.91%,790,"$812,301,743",1.84%,-31.93%
$500K to $999K,81.80%,423,"$144,371,490",3.36%,-36.43%
$5M to $9.9M,81.38%,247,"$855,173,837",2.52%,-45.06%
Less than $100K,58.49%,106,"$14,135,628",29.21%,-7.57%
Total,78.29%,"2,639","$7,357,346,988",3.03%,-27.72%
