Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Utah,80.66%,610,"$1,445,408,010",5.07%,-33.43%
1st Congressional district,78.95%,171,"$348,083,417",4.77%,-31.42%
2nd Congressional district,82.76%,203,"$516,236,397",2.86%,-37.64%
3rd Congressional district,81.01%,158,"$380,831,292",5.87%,-26.34%
4th Congressional district,78.21%,78,"$200,256,904",6.61%,-52.24%
