Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.55%,"1,725","$231,784,135",3.82%,-29.33%
$10M or more,78.23%,"1,254","$33,197,938,652",2.79%,-28.92%
$1M to $4.9M,81.33%,"2,368","$2,639,724,596",2.50%,-33.51%
$500K to $999K,84.34%,"1,245","$465,259,783",0.58%,-38.33%
$5M to $9.9M,84.21%,703,"$2,513,573,579",2.35%,-46.63%
Less than $100K,63.29%,237,"$17,237,158",22.61%,-16.47%
Total,80.38%,"7,532","$39,065,517,903",2.51%,-33.20%
