Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.65%,"1,639","$198,691,682",3.59%,-30.10%
$10M or more,76.31%,"1,317","$20,327,107,426",0.79%,-10.60%
$1M to $4.9M,83.18%,"1,914","$1,625,227,568",0.74%,-28.66%
$500K to $999K,81.43%,996,"$301,974,766",2.03%,-27.71%
$5M to $9.9M,85.83%,614,"$1,460,800,503",-0.05%,-26.69%
Less than $100K,57.61%,243,"$49,392,046",22.61%,-11.28%
Total,79.79%,"6,723","$23,963,193,991",1.32%,-23.19%
