Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",80.49%,41,"$51,682,293",2.64%,-29.32%
Education,96.15%,26,"$39,393,417",0.02%,-61.45%
Environment and animals,90.91%,44,"$28,637,053",4.38%,-45.94%
Health,88.10%,42,"$491,287,104",3.22%,-38.97%
Hospitals,66.67%,3,"$6,554,463",-1.96%,-2.57%
Human services,86.13%,137,"$236,932,316",0.24%,-42.83%
Mutual/membership benefit,100.00%,1,"$27,322",-0.29%,-8.60%
"Public, societal benefit",82.14%,56,"$162,888,107",6.40%,-59.52%
Religion-related,66.67%,3,"$1,223,820",13.93%,-8.83%
Unclassified,84.40%,109,"$810,488,487",1.15%,-28.13%
Total,85.71%,462,"$1,829,114,382",1.79%,-36.91%
