Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Washington,79.45%,"2,243","$5,611,495,042",2.47%,-27.16%
Adams County,100.00%,1,"$86,606",3.26%,-32.77%
Asotin County,100.00%,4,"$283,779",-14.97%,-53.67%
Benton County,73.53%,34,"$84,183,145",1.00%,-37.27%
Chelan County,64.00%,50,"$52,168,244",6.79%,-5.29%
Clallam County,78.38%,37,"$27,380,673",2.87%,-31.20%
Clark County,84.62%,78,"$176,107,393",3.38%,-27.02%
Columbia County,66.67%,3,"$554,238",-14.45%,-36.00%
Cowlitz County,73.91%,23,"$27,190,981",1.90%,-33.41%
Douglas County,66.67%,3,"$6,692,376",0.31%,-31.32%
Franklin County,90.91%,11,"$22,445,172",3.00%,-36.98%
Grant County,84.62%,13,"$21,501,600",11.98%,-25.24%
Grays Harbor County,90.00%,20,"$37,861,445",2.92%,-39.68%
Island County,77.27%,22,"$14,113,129",1.89%,-25.96%
Jefferson County,82.14%,28,"$29,638,535",3.12%,-19.88%
King County,79.78%,915,"$3,367,321,138",0.72%,-29.05%
Kitsap County,72.31%,65,"$41,575,060",3.06%,-9.32%
Kittitas County,100.00%,19,"$26,280,387",0.19%,-27.33%
Klickitat County,100.00%,7,"$12,177,031",0.11%,-42.95%
Lewis County,70.00%,20,"$12,836,934",0.66%,-21.77%
Lincoln County,50.00%,2,"$177,900",32.19%,-4.83%
Mason County,83.33%,12,"$26,681,803",6.01%,-43.54%
Okanogan County,72.41%,29,"$37,980,215",5.12%,-19.21%
Pacific County,77.78%,9,"$2,305,500",-12.52%,-70.90%
Pend Oreille County,33.33%,3,"$1,920,939",50.95%,10.99%
Pierce County,82.68%,179,"$403,448,375",1.84%,-30.56%
San Juan County,65.71%,35,"$10,937,417",16.62%,-13.50%
Skagit County,82.93%,41,"$33,757,708",3.58%,-31.94%
Skamania County,60.00%,5,"$1,490,669",7.73%,-66.08%
Snohomish County,80.65%,124,"$148,126,821",6.34%,-23.96%
Spokane County,83.64%,165,"$309,801,491",3.33%,-33.56%
Stevens County,80.00%,15,"$34,715,482",3.71%,-39.45%
Thurston County,77.78%,90,"$151,877,516",4.75%,-24.51%
Walla Walla County,73.33%,30,"$38,118,615",0.28%,-22.34%
Whatcom County,76.54%,81,"$115,343,966",7.64%,-19.94%
Whitman County,100.00%,10,"$16,006,151",-3.91%,-77.45%
Yakima County,76.67%,60,"$318,406,608",2.31%,-28.03%
