Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.44%,384,"$33,842,975",4.10%,-17.60%
$10M or more,59.87%,157,"$602,343,376",2.77%,-1.50%
$1M to $4.9M,75.33%,227,"$179,447,903",1.07%,-16.79%
$500K to $999K,76.54%,162,"$35,539,760",2.45%,-18.68%
$5M to $9.9M,81.94%,72,"$139,769,535",0.44%,-14.10%
Less than $100K,48.96%,96,"$7,357,621",40.86%,2.76%
Total,70.77%,"1,098","$998,301,170",3.08%,-12.44%
