Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.36%,381,"$59,750,605",4.50%,-36.24%
$10M or more,70.91%,110,"$789,820,198",2.33%,-14.23%
$1M to $4.9M,82.15%,297,"$324,646,322",3.10%,-24.47%
$500K to $999K,85.88%,170,"$63,452,138",1.74%,-32.43%
$5M to $9.9M,89.39%,66,"$308,767,122",5.09%,-68.75%
Less than $100K,72.60%,73,"$11,392,362",39.08%,-25.55%
Total,81.13%,"1,097","$1,557,828,747",3.41%,-29.22%
