Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",63.78%,127,"$35,746,527",1.10%,-11.00%
Education,78.68%,136,"$337,455,809",3.33%,-28.60%
Environment and animals,56.18%,89,"$33,839,577",8.41%,-6.08%
Health,73.84%,172,"$567,673,594",4.69%,-20.39%
Hospitals,44.12%,34,"$51,157,304",6.05%,3.41%
Human services,78.56%,569,"$774,820,160",2.98%,-23.68%
"International, foreign affairs",100.00%,4,"$11,826,273",-1.97%,-50.83%
Mutual/membership benefit,100.00%,2,"$11,425,741",8.82%,-79.20%
"Public, societal benefit",76.67%,150,"$199,042,532",4.29%,-25.72%
Religion-related,83.33%,18,"$8,373,114",3.82%,-11.23%
Unclassified,77.06%,388,"$563,640,713",1.68%,-21.84%
Universities,76.92%,13,"$221,879,569",-1.64%,-5.38%
Total,74.74%,"1,702","$2,816,880,913",3.09%,-20.57%
