Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.21%,628,"$90,907,704",3.50%,-37.43%
$10M or more,65.02%,203,"$2,338,893,396",4.13%,-7.88%
$1M to $4.9M,79.42%,413,"$412,483,023",3.89%,-25.15%
$500K to $999K,79.30%,256,"$70,491,743",2.77%,-31.72%
$5M to $9.9M,80.77%,130,"$398,011,277",2.98%,-35.11%
Less than $100K,67.33%,101,"$26,265,396",29.56%,-27.25%
Total,77.76%,"1,731","$3,337,052,539",3.96%,-29.39%
