Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
New York,79.79%,"6,723","$23,963,193,991",1.32%,-23.19%
10th Congressional district,81.90%,674,"$5,412,182,171",-0.24%,-24.97%
11th Congressional district,80.41%,97,"$184,106,574",3.04%,-33.01%
12th Congressional district,75.07%,762,"$5,688,835,780",-0.01%,-16.95%
13th Congressional district,83.15%,273,"$715,060,788",-1.02%,-32.81%
14th Congressional district,86.79%,106,"$479,809,381",0.61%,-26.98%
15th Congressional district,89.78%,137,"$1,243,430,280",-0.50%,-40.54%
16th Congressional district,87.32%,205,"$566,625,720",0.00%,-24.95%
17th Congressional district,76.73%,275,"$332,923,479",4.41%,-15.68%
18th Congressional district,76.64%,244,"$315,909,745",2.79%,-20.21%
19th Congressional district,77.62%,411,"$426,396,986",2.24%,-22.15%
1st Congressional district,79.27%,193,"$208,273,869",0.13%,-15.77%
20th Congressional district,83.68%,380,"$2,262,507,635",2.49%,-32.86%
21st Congressional district,71.90%,395,"$351,285,912",3.70%,-16.92%
22nd Congressional district,79.35%,339,"$583,748,426",1.52%,-27.29%
23rd Congressional district,78.01%,291,"$342,589,858",4.53%,-19.67%
24th Congressional district,78.03%,305,"$306,003,120",2.70%,-23.91%
25th Congressional district,80.83%,266,"$630,177,247",1.26%,-18.88%
26th Congressional district,81.99%,322,"$652,107,520",1.35%,-21.74%
2nd Congressional district,85.71%,147,"$316,635,947",2.03%,-45.97%
3rd Congressional district,68.34%,199,"$485,554,990",1.67%,-7.04%
4th Congressional district,79.25%,106,"$299,061,988",1.43%,-18.89%
5th Congressional district,85.11%,94,"$412,229,808",0.57%,-50.35%
6th Congressional district,86.25%,80,"$227,243,878",0.79%,-39.45%
7th Congressional district,83.98%,181,"$498,053,875",-0.06%,-28.40%
8th Congressional district,89.81%,108,"$601,992,928",0.12%,-53.10%
9th Congressional district,84.21%,133,"$420,446,086",1.15%,-35.20%
