Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Colorado,77.40%,"2,111","$2,881,320,716",3.52%,-21.40%
Adams County,84.81%,79,"$98,473,994",1.20%,-23.68%
Alamosa County,85.71%,21,"$40,982,503",1.93%,-43.23%
Arapahoe County,72.57%,113,"$210,037,897",4.00%,-20.51%
Archuleta County,47.06%,17,"$2,843,988",18.37%,0.99%
Bent County,50.00%,4,"$782,412",19.57%,-26.62%
Boulder County,80.56%,180,"$446,970,186",1.91%,-15.46%
Broomfield County,87.50%,16,"$5,910,974",-1.46%,-31.63%
Chaffee County,68.42%,19,"$5,266,825",8.87%,-23.24%
Cheyenne County,0.00%,1,"$120,435",56.40%,24.28%
Clear Creek County,83.33%,6,"$927,714",-3.55%,-39.43%
Conejos County,100.00%,2,"$211,675",8.01%,-30.04%
Costilla County,66.67%,3,"$419,233",4.54%,-32.41%
Crowley County,100.00%,2,"$496,713",11.29%,-75.09%
Custer County,66.67%,6,"$35,825",2.86%,-1.06%
Delta County,92.31%,13,"$1,469,973",6.16%,-13.47%
Denver County,84.01%,544,"$1,069,573,668",-0.05%,-36.63%
Dolores County,100.00%,2,"$170,695",-16.20%,-45.37%
Douglas County,72.92%,48,"$14,405,868",5.98%,-11.76%
Eagle County,65.85%,41,"$17,455,444",5.45%,-14.39%
El Paso County,70.80%,137,"$210,555,539",3.76%,-14.19%
Elbert County,100.00%,2,"$548,927",1.09%,-9.39%
Fremont County,50.00%,8,"$1,213,226",12.63%,0.01%
Garfield County,65.52%,58,"$25,133,544",7.00%,-17.19%
Gilpin County,100.00%,1,"$557,803",94.74%,-3.93%
Grand County,57.89%,19,"$3,985,642",20.48%,-11.94%
Gunnison County,73.08%,26,"$7,653,789",5.14%,-14.60%
Hinsdale County,66.67%,3,"$37,625",3.58%,-16.76%
Huerfano County,100.00%,4,"$798,397",4.14%,-27.39%
Jackson County,100.00%,1,"$422,362",25.71%,-73.07%
Jefferson County,80.62%,129,"$152,191,114",2.13%,-22.20%
Kiowa County,100.00%,1,"$182,501",-5.78%,-25.93%
Kit Carson County,100.00%,3,"$285,909",6.85%,-17.17%
La Plata County,64.58%,48,"$56,000,625",8.96%,-15.50%
Lake County,100.00%,7,"$3,050,654",8.58%,-21.20%
Larimer County,76.42%,106,"$128,651,083",3.07%,-19.81%
Las Animas County,85.71%,7,"$832,805",0.93%,-30.89%
Lincoln County,83.33%,6,"$1,896,953",5.38%,-58.71%
Logan County,100.00%,13,"$4,164,236",-0.68%,-38.95%
Mesa County,72.00%,50,"$59,585,555",7.23%,-13.20%
Mineral County,0.00%,2,"$121,399",23.34%,8.09%
Moffat County,100.00%,4,"$1,473,655",-9.01%,-47.10%
Montezuma County,79.17%,24,"$9,356,171",2.56%,-23.19%
Montrose County,72.22%,18,"$19,510,158",14.87%,-11.87%
Morgan County,62.50%,8,"$3,630,422",9.15%,-27.35%
Otero County,77.78%,9,"$15,378,162",3.70%,-20.36%
Ouray County,77.78%,9,"$3,334,210",12.28%,-18.96%
Park County,100.00%,9,"$7,469,820",-5.85%,-77.08%
Phillips County,33.33%,3,"$504,927",39.31%,4.03%
Pitkin County,59.46%,37,"$14,844,130",6.02%,-1.92%
Prowers County,80.00%,10,"$4,805,673",2.10%,-17.67%
Pueblo County,87.23%,47,"$76,832,356",2.94%,-19.18%
Rio Blanco County,83.33%,6,"$445,735",-4.82%,-35.47%
Rio Grande County,62.50%,8,"$5,092,438",4.69%,-16.83%
Routt County,72.22%,36,"$19,863,205",1.96%,-16.23%
Saguache County,80.00%,5,"$2,483,688",-1.99%,-63.90%
San Juan County,100.00%,3,"$960,804",-0.67%,-46.61%
San Miguel County,70.37%,27,"$11,756,388",7.50%,-10.83%
Summit County,84.62%,39,"$24,066,404",3.52%,-19.30%
Teller County,57.14%,7,"$2,480,799",16.30%,-33.79%
Washington County,100.00%,1,"$250,055",15.46%,-36.62%
Weld County,65.12%,43,"$79,845,249",10.23%,-6.74%
Yuma County,70.00%,10,"$2,510,557",3.13%,-20.18%
