Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
North Dakota,64.71%,357,"$277,585,866",5.69%,-10.94%
Adams County,100.00%,1,"$257,878",-0.03%,-0.89%
Barnes County,25.00%,4,"$608,143",9.56%,9.17%
Benson County,50.00%,2,"$14,652,628",12.72%,-29.40%
Billings County,0.00%,1,"$76,818",34.57%,34.14%
Bottineau County,75.00%,4,"$170,856",-1.57%,-39.82%
Bowman County,80.00%,5,"$1,455,968",3.65%,-43.28%
Burleigh County,67.86%,56,"$36,620,225",7.95%,-20.35%
Cass County,67.80%,59,"$40,682,774",5.14%,-9.83%
Cavalier County,60.00%,5,"$728,489",7.17%,-0.94%
Dickey County,50.00%,2,"$592,251",49.39%,-25.16%
Divide County,100.00%,1,"$100,243",20.40%,-8.80%
Dunn County,0.00%,5,"$761,395",30.80%,21.68%
Eddy County,0.00%,2,"$174,723",18.42%,1.19%
Emmons County,33.33%,3,"$1,898,153",30.13%,2.74%
Foster County,50.00%,2,"$363,955",-2.18%,-5.84%
Golden Valley County,100.00%,3,"$235,020",-0.46%,-13.92%
Grand Forks County,65.62%,32,"$24,696,251",5.09%,-10.10%
Grant County,33.33%,3,"$55,376",9.04%,0.45%
Griggs County,100.00%,2,"$16,230",-17.29%,-18.92%
Hettinger County,33.33%,3,"$50,738",55.35%,47.27%
Kidder County,50.00%,2,"$252,686",43.68%,20.75%
LaMoure County,50.00%,2,"$294,831",17.86%,-20.38%
Logan County,33.33%,3,"$1,285,017",2.88%,2.54%
McIntosh County,100.00%,3,"$4,375,830",14.70%,-4.01%
McKenzie County,42.86%,7,"$1,673,528",17.07%,4.61%
McLean County,66.67%,3,"$4,624,809",18.93%,-16.73%
Mercer County,57.14%,7,"$8,297,394",16.19%,-28.23%
Morton County,50.00%,12,"$5,881,049",14.65%,0.14%
Mountrail County,100.00%,2,"$302,707",-7.85%,-49.29%
Nelson County,60.00%,5,"$251,657",1.21%,-10.02%
Pembina County,62.50%,8,"$979,590",2.76%,-6.86%
Pierce County,50.00%,4,"$1,189,282",-2.67%,-5.29%
Ramsey County,66.67%,9,"$3,437,647",-1.83%,-40.54%
Ransom County,66.67%,3,"$646,920",5.36%,-54.23%
Renville County,100.00%,1,"$51,188",-13.89%,-27.10%
Richland County,55.56%,9,"$4,480,677",2.53%,-5.14%
Rolette County,100.00%,7,"$26,238,901",-1.45%,-50.02%
Sargent County,100.00%,1,"$227,355",-3.35%,-36.16%
Sioux County,0.00%,1,$788,44.05%,44.00%
Stark County,100.00%,14,"$24,560,875",0.16%,-63.12%
Steele County,100.00%,1,"$3,300",-4.23%,-5.62%
Stutsman County,71.43%,7,"$5,803,635",14.45%,-25.84%
Traill County,25.00%,4,"$570,603",6.50%,3.63%
Walsh County,37.50%,8,"$2,160,598",12.28%,3.89%
Ward County,79.17%,24,"$42,578,940",2.25%,-44.10%
Wells County,100.00%,3,"$572,715",2.79%,-9.08%
Williams County,58.33%,12,"$12,645,230",8.93%,-5.12%
