Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,84.98%,253,"$35,204,771",0.56%,-47.49%
$10M or more,81.05%,95,"$729,397,894",-0.52%,-11.26%
$1M to $4.9M,77.97%,177,"$172,582,147",1.52%,-23.13%
$500K to $999K,85.22%,115,"$38,222,310",0.06%,-36.68%
$5M to $9.9M,87.50%,40,"$107,652,711",1.23%,-24.25%
Less than $100K,67.35%,49,"$5,634,479",26.32%,-29.04%
Total,81.76%,729,"$1,088,694,312",1.22%,-33.57%
