Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.62%,136,"$28,232,382",7.90%,-41.17%
$10M or more,71.79%,39,"$745,834,823",3.67%,-23.56%
$1M to $4.9M,87.04%,162,"$196,210,219",7.66%,-39.40%
$500K to $999K,86.25%,80,"$34,757,377",6.58%,-38.89%
$5M to $9.9M,85.00%,40,"$146,689,623",1.26%,-48.62%
Less than $100K,70.97%,31,"$4,995,322",47.22%,-8.75%
Total,82.99%,488,"$1,156,719,746",6.77%,-37.72%
