Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",79.49%,78,"$20,301,909",2.77%,-29.66%
Education,76.84%,95,"$263,850,836",7.98%,-25.09%
Environment and animals,73.17%,41,"$37,955,090",10.15%,-24.93%
Health,82.69%,104,"$188,312,821",3.24%,-40.67%
Hospitals,100.00%,6,"$1,514,470",-9.65%,-20.73%
Human services,82.27%,423,"$1,171,911,102",5.26%,-45.91%
"International, foreign affairs",80.00%,5,"$5,739,383",5.44%,-17.46%
"Public, societal benefit",77.53%,89,"$109,668,478",10.11%,-36.65%
Religion-related,92.31%,26,"$4,109,569",0.70%,-48.54%
Unclassified,80.00%,200,"$515,616,511",3.17%,-29.93%
Universities,87.50%,8,"$84,626,163",-1.06%,-22.33%
Total,80.84%,"1,075","$2,403,606,332",4.61%,-36.71%
