Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
New York,79.79%,"6,723","$23,963,193,991",1.32%,-23.19%
Albany County,85.19%,216,"$2,043,429,547",2.41%,-36.90%
Allegany County,80.00%,25,"$56,827,484",3.95%,-20.46%
Bronx County,91.10%,236,"$1,770,385,842",-0.22%,-39.90%
Broome County,81.18%,85,"$97,273,746",1.82%,-27.65%
Cattaraugus County,70.97%,31,"$56,179,531",5.78%,-20.30%
Cayuga County,100.00%,36,"$63,271,060",-4.67%,-48.93%
Chautauqua County,83.33%,78,"$51,521,429",3.13%,-23.08%
Chemung County,80.65%,31,"$87,536,778",5.41%,-29.57%
Chenango County,68.75%,16,"$21,590,943",3.46%,-16.85%
Clinton County,80.56%,36,"$39,413,880",0.00%,-29.85%
Columbia County,71.70%,53,"$17,961,870",1.36%,-17.89%
Cortland County,83.33%,24,"$22,405,449",1.31%,-25.95%
Delaware County,84.85%,33,"$69,007,592",2.83%,-31.82%
Dutchess County,77.67%,103,"$93,874,310",2.98%,-19.97%
Erie County,80.90%,356,"$655,718,626",1.54%,-21.42%
Essex County,59.52%,42,"$22,439,790",12.18%,-9.98%
Franklin County,70.27%,37,"$43,737,323",7.10%,-7.51%
Fulton County,86.36%,22,"$17,456,057",-8.41%,-43.51%
Genesee County,63.16%,19,"$14,601,411",20.47%,-37.88%
Greene County,71.43%,28,"$7,909,526",-0.01%,-54.41%
Hamilton County,85.71%,7,"$1,095,884",-1.46%,-6.91%
Herkimer County,73.91%,23,"$5,189,567",2.93%,-16.73%
Jefferson County,81.03%,58,"$77,704,761",-0.32%,-28.23%
Kings County,85.28%,618,"$2,465,652,181",0.29%,-32.44%
Lewis County,52.94%,17,"$5,179,806",24.72%,-3.29%
Livingston County,78.57%,14,"$22,028,046",1.92%,-20.91%
Madison County,76.47%,34,"$19,419,013",0.95%,-23.22%
Monroe County,80.68%,264,"$629,267,050",1.24%,-18.88%
Montgomery County,82.61%,23,"$14,783,386",3.95%,-32.06%
Nassau County,72.30%,278,"$765,638,703",1.65%,-9.41%
New York County,77.81%,"1,460","$10,731,844,280",-0.26%,-20.93%
Niagara County,74.07%,54,"$32,485,228",4.46%,-16.99%
Oneida County,75.90%,83,"$177,334,208",2.06%,-14.72%
Onondaga County,75.54%,184,"$372,622,067",2.55%,-29.78%
Ontario County,76.19%,63,"$69,815,278",3.09%,-10.06%
Orange County,77.65%,85,"$160,360,001",2.61%,-30.36%
Orleans County,85.71%,14,"$9,787,838",-4.84%,-73.36%
Oswego County,82.93%,41,"$46,463,949",2.75%,-22.09%
Otsego County,68.42%,38,"$23,371,051",2.35%,-7.75%
Putnam County,85.37%,41,"$26,954,428",10.98%,-34.54%
Queens County,84.67%,274,"$797,917,540",0.57%,-40.67%
Rensselaer County,73.77%,61,"$78,955,251",4.30%,-24.58%
Richmond County,78.38%,74,"$135,341,918",3.78%,-32.17%
Rockland County,76.72%,116,"$145,483,299",3.77%,-15.55%
Saratoga County,75.38%,65,"$75,569,944",3.08%,-25.60%
Schenectady County,87.23%,47,"$105,018,513",1.56%,-14.80%
Schoharie County,55.56%,18,"$8,020,360",25.79%,-9.40%
Schuyler County,85.71%,7,"$6,775,480",0.85%,-13.70%
Seneca County,71.43%,14,"$4,048,811",4.25%,-12.09%
St. Lawrence County,77.61%,67,"$62,604,374",1.02%,-15.63%
Steuben County,79.17%,48,"$55,527,758",2.96%,-16.36%
Suffolk County,81.25%,352,"$529,354,354",0.68%,-22.83%
Sullivan County,86.84%,38,"$27,464,535",1.77%,-18.57%
Tioga County,85.71%,14,"$8,530,761",10.68%,-31.43%
Tompkins County,84.27%,89,"$109,001,033",1.72%,-26.71%
Ulster County,70.89%,79,"$69,069,112",3.31%,-15.24%
Warren County,75.51%,49,"$43,132,862",3.38%,-26.24%
Washington County,74.29%,35,"$21,706,223",2.61%,-8.74%
Wayne County,73.68%,19,"$21,888,739",4.05%,-24.86%
Westchester County,82.28%,316,"$722,184,080",0.83%,-19.21%
Wyoming County,100.00%,20,"$4,079,031",18.66%,-36.30%
Yates County,53.33%,15,"$21,981,094",3.05%,-22.25%
